"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene_name"
"ENSG00000198515",0,1.43672168842675,0.977,0.309,0,"Retinal rod cells","CNGA1"
"ENSG00000132915",0,1.3273139070507,0.941,0.343,0,"Retinal rod cells","PDE6A"
"ENSG00000278570",0,1.32628085287516,0.776,0.233,0,"Retinal rod cells","NR2E3"
"ENSG00000114349",0,1.21634836439391,0.989,0.444,0,"Retinal rod cells","GNAT1"
"ENSG00000070729",0,1.13021880445033,0.91,0.392,0,"Retinal rod cells","CNGB1"
"ENSG00000104237",0,1.11109315418801,0.894,0.387,0,"Retinal rod cells","RP1"
"ENSG00000127928",0,1.10587089289821,0.998,0.576,0,"Retinal rod cells","GNGT1"
"ENSG00000115255",0,1.10042935500305,0.784,0.321,0,"Retinal rod cells","REEP6"
"ENSG00000130561",0,1.08612999139862,0.997,0.567,0,"Retinal rod cells","SAG"
"ENSG00000078369",0,1.07693175022737,0.952,0.457,0,"Retinal rod cells","GNB1"
"ENSG00000129535",0,1.04754162327011,0.993,0.56,0,"Retinal rod cells","NRL"
"ENSG00000139988",0,1.03883688860218,0.811,0.354,0,"Retinal rod cells","RDH12"
"ENSG00000163914",0,1.03524890385093,0.997,0.59,0,"Retinal rod cells","RHO"
"ENSG00000074621",0,1.03421796300834,0.601,0.216,0,"Retinal rod cells","SLC24A1"
"ENSG00000112619",0,1.02908313479612,0.779,0.354,0,"Retinal rod cells","PRPH2"
"ENSG00000079101",0,1.01585404371172,0.629,0.247,0,"Retinal rod cells","CLUL1"
"ENSG00000168234",0,1.01396505403377,0.693,0.298,0,"Retinal rod cells","TTC39C"
"ENSG00000255553",0,0.984780959564018,0.521,0.191,0,"Retinal rod cells","LINC02733"
"ENSG00000140545",0,0.972800800983639,0.722,0.329,0,"Retinal rod cells","MFGE8"
"ENSG00000237070",0,0.972564354586568,0.583,0.218,0,"Retinal rod cells",""
"ENSG00000116703",0,0.969243885351288,0.969,0.484,0,"Retinal rod cells","PDC"
"ENSG00000132026",0,0.945451438034138,0.917,0.457,0,"Retinal rod cells","RTBDN"
"ENSG00000185527",0,0.941656647971238,0.999,0.666,0,"Retinal rod cells","PDE6G"
"ENSG00000229444",0,0.936581739063103,0.909,0.453,0,"Retinal rod cells","ST3GAL3-AS1"
"ENSG00000054654",0,0.922830366860567,0.667,0.311,0,"Retinal rod cells","SYNE2"
"ENSG00000048545",0,0.912355514434746,0.946,0.481,0,"Retinal rod cells","GUCA1A"
"ENSG00000129221",0,0.907846432499877,0.989,0.544,0,"Retinal rod cells","AIPL1"
"ENSG00000149489",0,0.905270539724627,0.997,0.659,0,"Retinal rod cells","ROM1"
"ENSG00000182324",0,0.89288485448211,0.52,0.216,0,"Retinal rod cells","KCNJ14"
"ENSG00000251200",0,0.877345012793366,0.511,0.223,0,"Retinal rod cells",""
"ENSG00000122711",0,0.876777601605444,0.619,0.297,0,"Retinal rod cells","SPINK4"
"ENSG00000168263",0,0.874090538955146,0.824,0.393,0,"Retinal rod cells","KCNV2"
"ENSG00000246477",0,0.871217718754645,0.509,0.215,0,"Retinal rod cells",""
"ENSG00000229922",0,0.862936461959499,0.742,0.362,0,"Retinal rod cells","LINC02865"
"ENSG00000158234",0,0.856705560314291,0.769,0.404,0,"Retinal rod cells","FAIM"
"ENSG00000156194",0,0.854963900668291,0.52,0.255,0,"Retinal rod cells","PPEF2"
"ENSG00000175544",0,0.847982605813521,0.647,0.315,0,"Retinal rod cells","CABP4"
"ENSG00000132437",0,0.846820675276411,0.649,0.316,0,"Retinal rod cells","DDC"
"ENSG00000170264",0,0.844017464413551,0.701,0.372,0,"Retinal rod cells","FAM161A"
"ENSG00000105825",0,0.841341155187269,0.448,0.179,0,"Retinal rod cells","TFPI2"
"ENSG00000204209",0,0.835201822566018,0.576,0.281,0,"Retinal rod cells","DAXX"
"ENSG00000187033",0,0.828032200137574,0.555,0.27,0,"Retinal rod cells","SAMD7"
"ENSG00000173976",0,0.815927256807881,0.698,0.352,0,"Retinal rod cells","RAX2"
"ENSG00000187634",0,0.815044642627957,0.448,0.197,0,"Retinal rod cells","SAMD11"
"ENSG00000109047",0,0.806625009317247,0.993,0.636,0,"Retinal rod cells","RCVRN"
"ENSG00000112706",0,0.801584575894393,0.718,0.371,0,"Retinal rod cells","IMPG1"
"ENSG00000184792",0,0.797927414644137,0.552,0.294,0,"Retinal rod cells","OSBP2"
"ENSG00000175906",0,0.79762625040119,0.78,0.473,0,"Retinal rod cells","ARL4D"
"ENSG00000133256",0,0.7722542047979,0.534,0.288,0,"Retinal rod cells","PDE6B"
"ENSG00000112041",0,0.771784204844257,0.794,0.438,0,"Retinal rod cells","TULP1"
"ENSG00000082126",0,0.765923762934156,0.668,0.338,0,"Retinal rod cells","MPP4"
"ENSG00000079819",0,0.757960994622751,0.78,0.465,0,"Retinal rod cells","EPB41L2"
"ENSG00000033867",0,0.753259282076168,0.805,0.476,0,"Retinal rod cells","SLC4A7"
"ENSG00000118402",0,0.752299860657021,0.699,0.41,0,"Retinal rod cells","ELOVL4"
"ENSG00000111837",0,0.749854955219923,0.578,0.311,0,"Retinal rod cells","MAK"
"ENSG00000060138",0,0.741604876842059,0.593,0.306,0,"Retinal rod cells","YBX3"
"ENSG00000066933",0,0.734050487354594,0.534,0.328,0,"Retinal rod cells","MYO9A"
"ENSG00000250543",0,0.720492889922145,0.5,0.266,0,"Retinal rod cells",""
"ENSG00000140386",0,0.689443636120907,0.657,0.422,0,"Retinal rod cells","SCAPER"
"ENSG00000108370",0,0.682039751470888,0.548,0.321,0,"Retinal rod cells","RGS9"
"ENSG00000125207",0,0.681553567370892,0.523,0.293,0,"Retinal rod cells","PIWIL1"
"ENSG00000214140",0,0.678317546602927,0.907,0.601,0,"Retinal rod cells","PRCD"
"ENSG00000080823",0,0.672817059843299,0.572,0.349,0,"Retinal rod cells","MOK"
"ENSG00000138190",0,0.662008793463774,0.579,0.351,0,"Retinal rod cells","EXOC6"
"ENSG00000112599",0,0.650549675718152,0.644,0.356,0,"Retinal rod cells","GUCA1B"
"ENSG00000021300",0,0.646140219996081,0.856,0.524,0,"Retinal rod cells","PLEKHB1"
"ENSG00000182667",0,0.64489237640618,0.748,0.51,0,"Retinal rod cells","NTM"
"ENSG00000175155",0,0.634648282322182,0.546,0.351,0,"Retinal rod cells","YPEL2"
"ENSG00000050393",0,0.61921381257066,0.64,0.414,0,"Retinal rod cells","MCUR1"
"ENSG00000265203",0,0.605547158196328,0.623,0.383,0,"Retinal rod cells","RBP3"
"ENSG00000198947",0,0.602072159335712,0.589,0.391,0,"Retinal rod cells","DMD"
"ENSG00000087274",0,0.580081842537285,0.686,0.486,0,"Retinal rod cells","ADD1"
"ENSG00000080511",0,0.577116439366348,0.534,0.353,0,"Retinal rod cells","RDH8"
