"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene_name"
"ENSG00000185774",0,5.83082055046865,0.997,0.495,0,"Neurons","KCNIP4"
"ENSG00000149972",0,5.77032457750488,0.937,0.18,0,"Neurons","CNTN5"
"ENSG00000067715",0,5.61053405812116,0.999,0.432,0,"Neurons","SYT1"
"ENSG00000174473",0,5.37827842622293,0.93,0.152,0,"Neurons","GALNTL6"
"ENSG00000185008",0,5.30530133682787,0.93,0.156,0,"Neurons","ROBO2"
"ENSG00000033122",0,5.16341913454874,0.996,0.312,0,"Neurons","LRRC7"
"ENSG00000078328",0,5.13134648033542,0.968,0.365,0,"Neurons","RBFOX1"
"ENSG00000170579",0,5.02402766430996,0.998,0.263,0,"Neurons","DLGAP1"
"ENSG00000214548",0,5.00777515771295,0.999,0.377,0,"Neurons","MEG3"
"ENSG00000162631",0,4.9428221016429,0.922,0.298,0,"Neurons","NTNG1"
"ENSG00000169855",0,4.8370017923304,0.986,0.589,0,"Neurons","ROBO1"
"ENSG00000174482",0,4.83183646568294,0.993,0.087,0,"Neurons","LINGO2"
"ENSG00000224078",0,4.82369885534966,1,0.647,0,"Neurons","SNHG14"
"ENSG00000155052",0,4.76001004669793,0.989,0.171,0,"Neurons","CNTNAP5"
"ENSG00000176406",0,4.75466182606781,0.997,0.191,0,"Neurons","RIMS2"
"ENSG00000184408",0,4.6543142426484,0.993,0.346,0,"Neurons","KCND2"
"ENSG00000151789",0,4.62227188151572,0.965,0.12,0,"Neurons","ZNF385D"
"ENSG00000157168",0,4.59727633032048,0.919,0.079,0,"Neurons","NRG1"
"ENSG00000204442",0,4.58268586825534,0.999,0.381,0,"Neurons","NALF1"
"ENSG00000144619",0,4.58238650966213,0.986,0.135,0,"Neurons","CNTN4"
"ENSG00000163618",0,4.56645875139163,0.998,0.206,0,"Neurons","CADPS"
"ENSG00000102466",0,4.53937011466202,1,0.223,0,"Neurons","FGF14"
"ENSG00000145526",0,4.53789408639504,0.975,0.127,0,"Neurons","CDH18"
"ENSG00000171189",0,4.53196800197389,0.916,0.21,0,"Neurons","GRIK1"
"ENSG00000169933",0,4.4581186298143,0.995,0.123,0,"Neurons","FRMPD4"
"ENSG00000168959",0,4.41680354556601,0.997,0.178,0,"Neurons","GRM5"
"ENSG00000118733",0,4.36468740189793,0.963,0.083,0,"Neurons","OLFM3"
"ENSG00000185736",0,4.35253738279966,0.978,0.334,0,"Neurons","ADARB2"
"ENSG00000166006",0,4.30195359829754,0.8,0.082,0,"Neurons","KCNC2"
"ENSG00000080224",0,4.29468198190511,0.922,0.078,0,"Neurons","EPHA6"
"ENSG00000185737",0,4.24585262913775,1,0.403,0,"Neurons","NRG3"
"ENSG00000183023",0,4.21594451826576,0.994,0.276,0,"Neurons","SLC8A1"
"ENSG00000109452",0,4.17412342631715,0.775,0.236,0,"Neurons","INPP4B"
"ENSG00000196277",0,4.17178870009649,0.967,0.215,0,"Neurons","GRM7"
"ENSG00000185352",0,4.1606591181978,0.973,0.155,0,"Neurons","HS6ST3"
"ENSG00000151067",0,4.15525787544464,0.985,0.206,0,"Neurons","CACNA1C"
"ENSG00000273079",0,4.11262447322594,0.994,0.097,0,"Neurons","GRIN2B"
"ENSG00000157680",0,4.11248999447215,0.981,0.256,0,"Neurons","DGKI"
"ENSG00000196353",0,4.08893445703202,0.965,0.064,0,"Neurons","CPNE4"
"ENSG00000139915",0,4.07064780880279,0.998,0.29,0,"Neurons","MDGA2"
"ENSG00000184672",0,4.02135583281471,0.984,0.203,0,"Neurons","RALYL"
"ENSG00000206579",0,4.01551674629953,0.982,0.139,0,"Neurons","XKR4"
"ENSG00000113448",0,4.00289709187943,0.996,0.579,0,"Neurons","PDE4D"
"ENSG00000138759",0,3.98286238392819,0.791,0.06,0,"Neurons","FRAS1"
"ENSG00000069667",0,3.97000002279028,0.998,0.532,0,"Neurons","RORA"
"ENSG00000165061",0,3.9674659583797,0.987,0.05,0,"Neurons","ZMAT4"
"ENSG00000052126",0,3.96437986701523,0.995,0.306,0,"Neurons","PLEKHA5"
"ENSG00000189337",0,3.92758342402689,0.998,0.463,0,"Neurons","KAZN"
"ENSG00000187416",0,3.90907123853746,0.501,0.211,0,"Neurons","LHFPL3"
"ENSG00000165973",0,3.89519245678882,0.908,0.059,0,"Neurons","NELL1"
"ENSG00000132639",0,3.88151594672594,0.996,0.265,0,"Neurons","SNAP25"
"ENSG00000206120",0,3.87522521048438,0.96,0.145,0,"Neurons","EGFEM1P"
"ENSG00000174469",0,3.86412303814465,0.999,0.556,0,"Neurons","CNTNAP2"
"ENSG00000021645",0,3.86100859316405,0.985,0.635,0,"Neurons","NRXN3"
"ENSG00000163630",0,3.85165887452634,0.697,0.088,0,"Neurons","SYNPR"
"ENSG00000182348",0,3.82824286309278,0.466,0.054,0,"Neurons","ZNF804B"
"ENSG00000182621",0,3.81753988522741,0.913,0.317,0,"Neurons","PLCB1"
"ENSG00000132932",0,3.81488324355923,0.994,0.104,0,"Neurons","ATP8A2"
"ENSG00000053108",0,3.80656149207028,0.717,0.059,0,"Neurons","FSTL4"
"ENSG00000107518",0,3.80356627915249,0.992,0.173,0,"Neurons","ATRNL1"
"ENSG00000144331",0,3.78572832685829,0.894,0.055,0,"Neurons","ZNF385B"
"ENSG00000183715",0,3.78538241320704,0.994,0.176,0,"Neurons","OPCML"
"ENSG00000048052",0,3.77876449673376,0.994,0.416,0,"Neurons","HDAC9"
"ENSG00000181072",0,3.7701840092484,0.905,0.046,0,"Neurons","CHRM2"
"ENSG00000184305",0,3.7635896107196,0.993,0.137,0,"Neurons","CCSER1"
"ENSG00000132938",0,3.74413892842347,0.852,0.05,0,"Neurons","MTUS2"
"ENSG00000144868",0,3.69821112747255,0.986,0.249,0,"Neurons","TMEM108"
"ENSG00000225746",0,3.69429078829282,0.98,0.131,0,"Neurons","MEG8"
"ENSG00000160145",0,3.67883686865225,0.977,0.271,0,"Neurons","KALRN"
"ENSG00000187672",0,3.67651868244411,0.993,0.193,0,"Neurons","ERC2"
"ENSG00000145349",0,3.66606988057842,0.972,0.421,0,"Neurons","CAMK2D"
"ENSG00000144642",0,3.65200552180677,0.99,0.352,0,"Neurons","RBMS3"
"ENSG00000070961",0,3.63117601799082,0.966,0.341,0,"Neurons","ATP2B1"
"ENSG00000152822",0,3.61212913941442,0.864,0.055,0,"Neurons","GRM1"
"ENSG00000182901",0,3.60779156278392,0.998,0.305,0,"Neurons","RGS7"
"ENSG00000185046",0,3.59675398304822,0.998,0.713,0,"Neurons","ANKS1B"
"ENSG00000145934",0,3.59439888412798,0.563,0.188,0,"Neurons","TENM2"
"ENSG00000048740",0,3.58705911093198,0.996,0.368,0,"Neurons","CELF2"
"ENSG00000228566",0,3.58131214742604,0.447,0.089,0,"Neurons",""
"ENSG00000183036",0,3.56350939520415,0.863,0.411,0,"Neurons","PCP4"
"ENSG00000198938",0,3.55962350408129,0.916,0.646,0,"Neurons","MT-CO3"
"ENSG00000176204",0,3.55958986976584,0.847,0.224,0,"Neurons","LRRTM4"
"ENSG00000179915",0,3.55908492573403,0.999,0.592,0,"Neurons","NRXN1"
"ENSG00000198673",0,3.55098011166621,0.943,0.157,0,"Neurons","TAFA2"
"ENSG00000165323",0,3.54831119826573,0.976,0.199,0,"Neurons","FAT3"
"ENSG00000075391",0,3.54280306458776,0.991,0.335,0,"Neurons","RASAL2"
"ENSG00000164418",0,3.54056577481387,0.985,0.224,0,"Neurons","GRIK2"
"ENSG00000153820",0,3.53790604451424,0.638,0.049,0,"Neurons","SPHKAP"
"ENSG00000186472",0,3.53173381140023,0.983,0.173,0,"Neurons","PCLO"
"ENSG00000169946",0,3.5199518088152,0.648,0.249,0,"Neurons","ZFPM2"
"ENSG00000114948",0,3.51516395782216,0.955,0.142,0,"Neurons","ADAM23"
"ENSG00000144460",0,3.49491062589802,0.787,0.032,0,"Neurons","NYAP2"
"ENSG00000152932",0,3.47877239456694,0.983,0.1,0,"Neurons","RAB3C"
"ENSG00000237515",0,3.47596278133737,0.792,0.089,0,"Neurons","SHISA9"
"ENSG00000185053",0,3.47565179477779,0.628,0.201,0,"Neurons","SGCZ"
"ENSG00000206052",0,3.46429488457702,0.979,0.09,0,"Neurons","DOK6"
"ENSG00000186094",0,3.46248651581448,0.989,0.199,0,"Neurons","AGBL4"
"ENSG00000198712",0,3.45722838870151,0.939,0.705,0,"Neurons","MT-CO2"
"ENSG00000183117",0,3.45478468289907,0.985,0.254,0,"Neurons","CSMD1"
"ENSG00000184156",0,3.44964124147291,0.768,0.181,0,"Neurons","KCNQ3"
"ENSG00000157388",0,3.44614387065839,0.982,0.185,0,"Neurons","CACNA1D"
"ENSG00000114279",0,3.44052883510084,0.895,0.175,0,"Neurons","FGF12"
"ENSG00000156687",0,3.42810319986996,0.901,0.048,0,"Neurons","UNC5D"
"ENSG00000112541",0,3.42762348342377,0.791,0.198,0,"Neurons","PDE10A"
"ENSG00000154162",0,3.42354808405581,0.643,0.059,0,"Neurons","CDH12"
"ENSG00000122966",0,3.41247827636671,0.71,0.117,0,"Neurons","CIT"
"ENSG00000203930",0,3.40188586190545,0.992,0.364,0,"Neurons","LINC00632"
"ENSG00000188803",0,3.39773652179225,0.671,0.123,0,"Neurons","SHISA6"
"ENSG00000131711",0,3.3961531383639,0.951,0.499,0,"Neurons","MAP1B"
"ENSG00000165379",0,3.39286677376869,0.98,0.126,0,"Neurons","LRFN5"
"ENSG00000164796",0,3.38718562157874,0.997,0.349,0,"Neurons","CSMD3"
"ENSG00000227681",0,3.36950306534437,0.947,0.042,0,"Neurons",""
"ENSG00000261115",0,3.36785499732063,0.988,0.268,0,"Neurons","TMEM178B"
"ENSG00000203727",0,3.36538562585394,0.952,0.05,0,"Neurons","SAMD5"
"ENSG00000162989",0,3.36206518653012,0.985,0.072,0,"Neurons","KCNJ3"
"ENSG00000137968",0,3.3618061832735,0.915,0.098,0,"Neurons","SLC44A5"
"ENSG00000139174",0,3.36110040139175,0.962,0.09,0,"Neurons","PRICKLE1"
"ENSG00000171587",0,3.35925310447848,0.997,0.247,0,"Neurons","DSCAM"
"ENSG00000172264",0,3.35801278655459,0.991,0.397,0,"Neurons","MACROD2"
"ENSG00000151229",0,3.3576352026662,0.987,0.149,0,"Neurons","SLC2A13"
"ENSG00000048991",0,3.35292530269528,0.991,0.4,0,"Neurons","R3HDM1"
"ENSG00000155093",0,3.34775039961684,0.984,0.119,0,"Neurons","PTPRN2"
"ENSG00000157152",0,3.34273318057534,0.975,0.072,0,"Neurons","SYN2"
"ENSG00000136928",0,3.34115624590787,0.969,0.083,0,"Neurons","GABBR2"
"ENSG00000153707",0,3.33974875576718,0.995,0.795,0,"Neurons","PTPRD"
"ENSG00000128573",0,3.33489181301143,0.938,0.14,0,"Neurons","FOXP2"
"ENSG00000137766",0,3.33307964852671,0.855,0.06,0,"Neurons","UNC13C"
"ENSG00000134215",0,3.33149549697994,0.95,0.064,0,"Neurons","VAV3"
"ENSG00000078018",0,3.32519025524444,0.993,0.259,0,"Neurons","MAP2"
"ENSG00000129682",0,3.32456567650463,0.501,0.045,0,"Neurons","FGF13"
"ENSG00000144290",0,3.32140069471147,0.99,0.095,0,"Neurons","SLC4A10"
"ENSG00000145864",0,3.31884026016827,0.955,0.081,0,"Neurons","GABRB2"
"ENSG00000175497",0,3.30991114132486,0.97,0.281,0,"Neurons","DPP10"
"ENSG00000248550",0,3.29634128624909,0.575,0.078,0,"Neurons","OTX2-AS1"
"ENSG00000079841",0,3.29520920481216,0.962,0.196,0,"Neurons","RIMS1"
"ENSG00000218336",0,3.28860882370851,0.956,0.117,0,"Neurons","TENM3"
"ENSG00000101333",0,3.27938258610425,0.967,0.15,0,"Neurons","PLCB4"
"ENSG00000175175",0,3.27839856664166,0.978,0.12,0,"Neurons","PPM1E"
"ENSG00000112232",0,3.26748366901751,0.959,0.146,0,"Neurons","KHDRBS2"
"ENSG00000198668",0,3.26681387760739,0.982,0.592,0,"Neurons","CALM1"
"ENSG00000158560",0,3.26525742673635,0.992,0.312,0,"Neurons","DYNC1I1"
"ENSG00000187720",0,3.25534984775969,0.872,0.054,0,"Neurons","THSD4"
"ENSG00000144366",0,3.25376542270161,0.911,0.062,0,"Neurons","GULP1"
"ENSG00000144218",0,3.25062710733458,0.981,0.145,0,"Neurons","AFF3"
"ENSG00000077264",0,3.23893328312547,0.975,0.088,0,"Neurons","PAK3"
"ENSG00000145730",0,3.23886146949518,0.973,0.158,0,"Neurons","PAM"
"ENSG00000185666",0,3.23458643922619,0.93,0.076,0,"Neurons","SYN3"
"ENSG00000148408",0,3.23133668943406,0.974,0.083,0,"Neurons","CACNA1B"
"ENSG00000198899",0,3.23004058809533,0.868,0.554,0,"Neurons","MT-ATP6"
"ENSG00000133958",0,3.22578188123001,0.993,0.348,0,"Neurons","UNC79"
"ENSG00000185565",0,3.21192353082041,0.999,0.818,0,"Neurons","LSAMP"
"ENSG00000091129",0,3.20738174155328,0.992,0.307,0,"Neurons","NRCAM"
"ENSG00000166206",0,3.20569377922903,0.984,0.103,0,"Neurons","GABRB3"
"ENSG00000182732",0,3.18933478079482,0.702,0.16,0,"Neurons","RGS6"
"ENSG00000150394",0,3.17841340543027,0.966,0.221,0,"Neurons","CDH8"
"ENSG00000088179",0,3.17757742832391,0.915,0.314,0,"Neurons","PTPN4"
"ENSG00000133019",0,3.16547949305292,0.736,0.037,0,"Neurons","CHRM3"
"ENSG00000164830",0,3.16008635564939,0.984,0.338,0,"Neurons","OXR1"
"ENSG00000116106",0,3.15436282534631,0.954,0.066,0,"Neurons","EPHA4"
"ENSG00000058091",0,3.13700110468487,0.986,0.246,0,"Neurons","CDK14"
"ENSG00000198727",0,3.13559944081107,0.878,0.602,0,"Neurons","MT-CYB"
"ENSG00000158089",0,3.13049898114536,0.941,0.042,0,"Neurons","GALNT14"
"ENSG00000112419",0,3.13036327392797,0.938,0.142,0,"Neurons","PHACTR2"
"ENSG00000198804",0,3.12351651612008,0.902,0.592,0,"Neurons","MT-CO1"
"ENSG00000254377",0,3.11072162041765,0.96,0.059,0,"Neurons","MIR124-2HG"
"ENSG00000154240",0,3.11027805510002,0.93,0.138,0,"Neurons","CEP112"
"ENSG00000136531",0,3.10062654092079,0.975,0.118,0,"Neurons","SCN2A"
"ENSG00000188352",0,3.09481944597104,0.974,0.242,0,"Neurons","FOCAD"
"ENSG00000140015",0,3.09457641557329,0.824,0.05,0,"Neurons","KCNH5"
"ENSG00000144285",0,3.09255638082882,0.976,0.193,0,"Neurons","SCN1A"
"ENSG00000111249",0,3.08712474746198,0.915,0.034,0,"Neurons","CUX2"
"ENSG00000198840",0,3.06515324673289,0.881,0.607,0,"Neurons","MT-ND3"
"ENSG00000183454",0,3.0628305156894,0.957,0.207,0,"Neurons","GRIN2A"
"ENSG00000130226",0,3.05706765456761,0.995,0.511,0,"Neurons","DPP6"
"ENSG00000148516",0,3.05688482212725,0.977,0.27,0,"Neurons","ZEB1"
"ENSG00000183775",0,3.05449801092446,0.972,0.127,0,"Neurons","KCTD16"
"ENSG00000189108",0,3.05410567562265,0.427,0.023,0,"Neurons","IL1RAPL2"
"ENSG00000140836",0,3.05375901366116,0.893,0.311,0,"Neurons","ZFHX3"
"ENSG00000151136",0,3.05236336086584,0.933,0.049,0,"Neurons","ABTB3"
"ENSG00000183287",0,3.04588299497359,0.428,0.021,0,"Neurons","CCBE1"
"ENSG00000186487",0,3.03699149426808,0.958,0.07,0,"Neurons","MYT1L"
"ENSG00000067798",0,3.03613650913256,0.98,0.518,0,"Neurons","NAV3"
"ENSG00000135298",0,3.02527567258909,0.999,0.753,0,"Neurons","ADGRB3"
"ENSG00000198846",0,3.02186466155657,0.947,0.159,0,"Neurons","TOX"
"ENSG00000135541",0,3.01399561053277,0.992,0.511,0,"Neurons","AHI1"
"ENSG00000139220",0,3.00872104990487,0.993,0.523,0,"Neurons","PPFIA2"
"ENSG00000107295",0,2.99794138452329,0.953,0.114,0,"Neurons","SH3GL2"
"ENSG00000183570",0,2.99698850748952,0.749,0.138,0,"Neurons","PCBP3"
"ENSG00000149256",0,2.98585761964591,0.78,0.18,0,"Neurons","TENM4"
"ENSG00000198626",0,2.98545036279506,0.83,0.142,0,"Neurons","RYR2"
"ENSG00000165995",0,2.9743289989285,0.962,0.22,0,"Neurons","CACNB2"
"ENSG00000172020",0,2.97192780931309,0.793,0.146,0,"Neurons","GAP43"
"ENSG00000141837",0,2.96978990341216,0.889,0.14,0,"Neurons","CACNA1A"
"ENSG00000198886",0,2.9695423397599,0.874,0.579,0,"Neurons","MT-ND4"
"ENSG00000163032",0,2.96202570283914,0.948,0.121,0,"Neurons","VSNL1"
"ENSG00000104490",0,2.94198431879811,0.949,0.147,0,"Neurons","NCALD"
"ENSG00000151474",0,2.93811918489493,0.994,0.423,0,"Neurons","FRMD4A"
"ENSG00000253554",0,2.93629186904199,0.924,0.053,0,"Neurons","LINC01414"
"ENSG00000148737",0,2.92572374694783,0.613,0.327,0,"Neurons","TCF7L2"
"ENSG00000152578",0,2.91510014787348,0.993,0.48,0,"Neurons","GRIA4"
"ENSG00000163590",0,2.91298945819124,0.967,0.262,0,"Neurons","PPM1L"
"ENSG00000090905",0,2.90946530280115,0.996,0.65,0,"Neurons","TNRC6A"
"ENSG00000139154",0,2.90590957330216,0.969,0.245,0,"Neurons","AEBP2"
"ENSG00000154556",0,2.8887772633479,0.948,0.117,0,"Neurons","SORBS2"
"ENSG00000100095",0,2.88619746294761,0.916,0.104,0,"Neurons","SEZ6L"
"ENSG00000158321",0,2.88604491858477,0.999,0.836,0,"Neurons","AUTS2"
"ENSG00000073910",0,2.88526882802221,0.985,0.278,0,"Neurons","FRY"
"ENSG00000143153",0,2.88077621558239,0.989,0.632,0,"Neurons","ATP1B1"
"ENSG00000154975",0,2.87924852555692,0.843,0.115,0,"Neurons","CA10"
"ENSG00000230590",0,2.87428537077401,0.999,0.838,0,"Neurons","FTX"
"ENSG00000002746",0,2.87389150948681,0.477,0.079,0,"Neurons","HECW1"
"ENSG00000082805",0,2.87377003080622,0.99,0.441,0,"Neurons","ERC1"
"ENSG00000006740",0,2.87360287515242,0.96,0.076,0,"Neurons","ARHGAP44"
"ENSG00000066032",0,2.86248157172757,0.998,0.561,0,"Neurons","CTNNA2"
"ENSG00000148948",0,2.86066763118337,0.968,0.524,0,"Neurons","LRRC4C"
"ENSG00000128739",0,2.85400877657898,0.957,0.195,0,"Neurons","SNRPN"
"ENSG00000196876",0,2.8531972520836,0.967,0.111,0,"Neurons","SCN8A"
"ENSG00000101349",0,2.83796238271912,0.947,0.068,0,"Neurons","PAK5"
"ENSG00000156113",0,2.83728514734562,0.98,0.297,0,"Neurons","KCNMA1"
"ENSG00000100505",0,2.83682787453949,0.975,0.414,0,"Neurons","TRIM9"
"ENSG00000185274",0,2.82776291488894,0.575,0.035,0,"Neurons","GALNT17"
"ENSG00000172915",0,2.82120921915868,0.992,0.44,0,"Neurons","NBEA"
