"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene_name"
"ENSG00000198502",0,2.31183151800589,0.726,0.057,0,"Immune cells","HLA-DRB5"
"ENSG00000173391",0,1.78489868042941,0.522,0.024,0,"Immune cells","OLR1"
"ENSG00000124882",0,1.69320554489946,0.632,0.064,0,"Immune cells","EREG"
"ENSG00000125538",0,1.6157103830709,0.705,0.083,0,"Immune cells","IL1B"
"ENSG00000186407",0,1.60500333069732,0.514,0.035,0,"Immune cells","CD300E"
"ENSG00000179344",0,1.60388686192532,0.621,0.001,0,"Immune cells","HLA-DQB1"
"ENSG00000119508",0,1.54882621590635,0.675,0.046,0,"Immune cells","NR4A3"
"ENSG00000113070",0,1.52018410727763,0.734,0.124,0,"Immune cells","HBEGF"
"ENSG00000166927",0,1.51534227614735,0.758,0.095,0,"Immune cells","MS4A7"
"ENSG00000112137",0,1.49731706300711,0.611,0.054,0,"Immune cells","PHACTR1"
"ENSG00000204287",0,1.47198384984632,0.805,0.082,0,"Immune cells","HLA-DRA"
"ENSG00000196126",0,1.43595956835415,0.736,0.115,0,"Immune cells","HLA-DRB1"
"ENSG00000216490",0,1.4344327257041,0.573,0.062,0,"Immune cells","IFI30"
"ENSG00000102524",0,1.41654397483038,0.604,0.062,0,"Immune cells","TNFSF13B"
"ENSG00000158869",0,1.41111705208978,0.92,0.124,0,"Immune cells","FCER1G"
"ENSG00000231389",0,1.40030863519462,0.739,0.069,0,"Immune cells","HLA-DPA1"
"ENSG00000165168",0,1.39698766828972,0.791,0.098,0,"Immune cells","CYBB"
"ENSG00000223865",0,1.38542151516022,0.721,0.062,0,"Immune cells","HLA-DPB1"
"ENSG00000075426",0,1.3800973783316,0.868,0.204,0,"Immune cells","FOSL2"
"ENSG00000169508",0,1.37632325060803,0.699,0.062,0,"Immune cells","GPR183"
"ENSG00000203747",0,1.3549710848778,0.695,0.082,0,"Immune cells","FCGR3A"
"ENSG00000011422",0,1.34568186805582,0.768,0.104,0,"Immune cells","PLAUR"
"ENSG00000073756",0,1.32638234703317,0.597,0.081,0,"Immune cells","PTGS2"
"ENSG00000106066",0,1.30836069173274,0.613,0.062,0,"Immune cells","CPVL"
"ENSG00000163131",0,1.29336583259994,0.846,0.136,0,"Immune cells","CTSS"
"ENSG00000170542",0,1.28995340845139,0.721,0.151,0,"Immune cells","SERPINB9"
"ENSG00000137801",0,1.28491133099648,0.674,0.125,0,"Immune cells","THBS1"
"ENSG00000176845",0,1.2837431822004,0.762,0.075,0,"Immune cells","METRNL"
"ENSG00000277632",0,1.27915063649436,0.586,0.062,0,"Immune cells","CCL3"
"ENSG00000153234",0,1.27457663960267,0.859,0.183,0,"Immune cells","NR4A2"
"ENSG00000255112",0,1.27209774994076,0.728,0.254,0,"Immune cells","CHMP1B"
"ENSG00000204472",0,1.26501444091936,0.81,0.106,0,"Immune cells","AIF1"
"ENSG00000090382",0,1.26344857932028,0.806,0.102,0,"Immune cells","LYZ"
"ENSG00000197405",0,1.25682571914221,0.77,0.145,0,"Immune cells","C5AR1"
"ENSG00000095794",0,1.23927325629432,0.815,0.216,0,"Immune cells","CREM"
"ENSG00000266094",0,1.23176543457356,0.652,0.095,0,"Immune cells","RASSF5"
