"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene_name"
"ENSG00000115263",0,7.59563950916113,0.981,0.457,0,"Type A enteroendocrine cells","GCG"
"ENSG00000163499",0,5.42913275355642,0.897,0.178,0,"Type A enteroendocrine cells","CRYBA2"
"ENSG00000145321",0,5.37082124774009,0.96,0.135,0,"Type A enteroendocrine cells","GC"
"ENSG00000126218",0,5.18069382067432,0.846,0.046,0,"Type A enteroendocrine cells","F10"
"ENSG00000118271",0,4.80014953931377,0.998,0.49,0,"Type A enteroendocrine cells","TTR"
"ENSG00000169903",0,4.44978708745806,0.925,0.221,0,"Type A enteroendocrine cells","TM4SF4"
"ENSG00000095932",0,4.33644820534755,0.849,0.104,0,"Type A enteroendocrine cells","SMIM24"
"ENSG00000125851",1.07607983554299E-296,3.25679368950019,0.965,0.305,2.39492328198449E-292,"Type A enteroendocrine cells","PCSK2"
"ENSG00000078098",8.17893926008602E-282,5.48608642519175,0.702,0.028,1.82030472172474E-277,"Type A enteroendocrine cells","FAP"
"ENSG00000100604",1.00158779503668E-280,2.81656206186597,0.988,0.358,2.22913379663363E-276,"Type A enteroendocrine cells","CHGA"
"ENSG00000002933",1.4123202216973E-270,3.48072060742778,0.874,0.219,3.14325988540951E-266,"Type A enteroendocrine cells","TMEM176A"
"ENSG00000106565",1.31199185454192E-261,3.49440510151462,0.896,0.269,2.9199690714685E-257,"Type A enteroendocrine cells","TMEM176B"
"ENSG00000166922",7.29995742135909E-258,2.23747194770038,0.995,0.434,1.62467852369768E-253,"Type A enteroendocrine cells","SCG5"
"ENSG00000091583",1.63601482322578E-251,4.19520301291047,0.711,0.062,3.6411145905713E-247,"Type A enteroendocrine cells","APOH"
"ENSG00000102109",2.23043621797731E-249,2.50674924981027,0.994,0.362,4.96405884673029E-245,"Type A enteroendocrine cells","PCSK1N"
"ENSG00000089199",8.94206330567097E-239,2.42208493100803,0.993,0.369,1.99014560931013E-234,"Type A enteroendocrine cells","CHGB"
"ENSG00000128564",1.60300089708073E-232,3.66744540444379,0.803,0.179,3.56763879654286E-228,"Type A enteroendocrine cells","VGF"
"ENSG00000171951",5.20889002751219E-228,2.17382665589288,0.982,0.328,1.15929056452311E-223,"Type A enteroendocrine cells","SCG2"
"ENSG00000163497",1.64898383459645E-213,4.66311687853919,0.551,0.013,3.66997842227787E-209,"Type A enteroendocrine cells","FEV"
"ENSG00000089356",4.19772782832437E-206,2.91311430413522,0.767,0.17,9.34246305471871E-202,"Type A enteroendocrine cells","FXYD3"
"ENSG00000170561",1.72368402493749E-202,4.49412966586628,0.527,0.011,3.83623116590088E-198,"Type A enteroendocrine cells","IRX2"
"ENSG00000116183",2.05493788439643E-202,3.99676658401159,0.564,0.03,4.5734697555127E-198,"Type A enteroendocrine cells","PAPPA2"
"ENSG00000092096",1.64705933086459E-198,2.43572508242223,0.885,0.296,3.66569524677224E-194,"Type A enteroendocrine cells","SLC22A17"
"ENSG00000161671",1.31089922576535E-197,2.73631599321518,0.897,0.42,2.91753731686337E-193,"Type A enteroendocrine cells","EMC10"
"ENSG00000112379",3.05561359058854E-194,2.29400077642599,0.944,0.504,6.80057360721386E-190,"Type A enteroendocrine cells","ARFGEF3"
