"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene_name"
"ENSG00000104899",0,1.52290495972499,0.98,0.295,0,"Sertoli Cells","AMH"
"ENSG00000118137",0,1.38945387140229,0.996,0.422,0,"Sertoli Cells","APOA1"
"ENSG00000166917",0,1.25348169796114,0.927,0.213,0,"Sertoli Cells","MIR202HG"
"ENSG00000123999",0,1.24925289892787,0.946,0.202,0,"Sertoli Cells","INHA"
"ENSG00000133169",0,1.24666642429193,0.987,0.401,0,"Sertoli Cells","BEX1"
"ENSG00000125931",0,1.23765606148646,0.896,0.216,0,"Sertoli Cells","CITED1"
"ENSG00000243955",0,1.16465313352767,0.958,0.319,0,"Sertoli Cells","GSTA1"
"ENSG00000188488",0,1.13269799996767,0.905,0.223,0,"Sertoli Cells","SERPINA5"
"ENSG00000129538",0,0.995501593381829,0.997,0.677,0,"Sertoli Cells","RNASE1"
"ENSG00000166165",0,0.978508350991661,0.917,0.387,0,"Sertoli Cells","CKB"
"ENSG00000132386",0,0.931406345094884,0.954,0.509,0,"Sertoli Cells","SERPINF1"
"ENSG00000160211",0,0.897565720954868,0.791,0.248,0,"Sertoli Cells","G6PD"
"ENSG00000147378",0,0.896533180897456,0.685,0.097,0,"Sertoli Cells","FATE1"
"ENSG00000105669",0,0.894533972742958,0.96,0.613,0,"Sertoli Cells","COPE"
"ENSG00000115255",0,0.878287033696319,0.807,0.214,0,"Sertoli Cells","REEP6"
"ENSG00000120885",0,0.865355257535644,0.84,0.3,0,"Sertoli Cells","CLU"
"ENSG00000136943",0,0.864134675802437,0.739,0.112,0,"Sertoli Cells","CTSV"
"ENSG00000171766",0,0.850072337704175,0.773,0.178,0,"Sertoli Cells","GATM"
"ENSG00000197747",0,0.796534668776673,0.961,0.525,0,"Sertoli Cells","S100A10"
"ENSG00000243449",0,0.796208176111502,0.892,0.519,0,"Sertoli Cells","C4orf48"
"ENSG00000125398",0,0.788758258436718,0.678,0.095,0,"Sertoli Cells","SOX9"
"ENSG00000138646",0,0.760963951510125,0.665,0.161,0,"Sertoli Cells","HERC5"
"ENSG00000163083",0,0.747750620302053,0.627,0.052,0,"Sertoli Cells","INHBB"
"ENSG00000107372",0,0.718486885633684,0.816,0.467,0,"Sertoli Cells","ZFAND5"
"ENSG00000245648",0,0.708575352366775,0.637,0.114,0,"Sertoli Cells","KLRK1-AS1"
"ENSG00000146386",0,0.704574623385949,0.722,0.258,0,"Sertoli Cells","ABRACL"
"ENSG00000157303",0,0.700479819186755,0.665,0.136,0,"Sertoli Cells","SUSD3"
"ENSG00000134775",0,0.69405412956618,0.607,0.081,0,"Sertoli Cells","FHOD3"
"ENSG00000182685",0,0.681545437187185,0.575,0.07,0,"Sertoli Cells","BRICD5"
"ENSG00000089737",0,0.672511094220473,0.877,0.594,0,"Sertoli Cells","DDX24"
"ENSG00000129991",0,0.670549735457305,0.586,0.077,0,"Sertoli Cells","TNNI3"
"ENSG00000130707",0,0.649043644391959,0.738,0.314,0,"Sertoli Cells","ASS1"
"ENSG00000109084",0,0.643818837612641,0.761,0.374,0,"Sertoli Cells","TMEM97"
"ENSG00000176485",0,0.643485201857777,0.621,0.112,0,"Sertoli Cells","PLAAT3"
"ENSG00000184905",0,0.638342119323732,0.591,0.121,0,"Sertoli Cells","TCEAL2"
"ENSG00000171867",0,0.633903129489419,0.697,0.285,0,"Sertoli Cells","PRNP"
"ENSG00000124006",0,0.629050436705573,0.716,0.338,0,"Sertoli Cells","OBSL1"
"ENSG00000165948",0,0.627518006114709,0.686,0.257,0,"Sertoli Cells","IFI27L1"
"ENSG00000075618",0,0.627506865957227,0.846,0.549,0,"Sertoli Cells","FSCN1"
"ENSG00000115596",0,0.627125756899037,0.567,0.063,0,"Sertoli Cells","WNT6"
"ENSG00000176533",0,0.621491525541933,0.587,0.084,0,"Sertoli Cells","GNG7"
"ENSG00000101439",0,0.616952438959171,0.937,0.723,0,"Sertoli Cells","CST3"
"ENSG00000143198",0,0.609376741735197,0.962,0.797,0,"Sertoli Cells","MGST3"
"ENSG00000140459",0,0.601697916119431,0.583,0.115,0,"Sertoli Cells","CYP11A1"
"ENSG00000204219",0,0.595859342444363,0.62,0.167,0,"Sertoli Cells","TCEA3"
"ENSG00000071794",0,0.593683013255027,0.654,0.262,0,"Sertoli Cells","HLTF"
"ENSG00000152558",0,0.580311941681338,0.692,0.345,0,"Sertoli Cells","TMEM123"
"ENSG00000147573",0,0.578596900268652,0.53,0.049,0,"Sertoli Cells","TRIM55"
"ENSG00000165704",0,0.562808103471831,0.647,0.281,0,"Sertoli Cells","HPRT1"
"ENSG00000130222",0,0.561912020403892,0.693,0.376,0,"Sertoli Cells","GADD45G"
"ENSG00000086758",0,0.558736574439779,0.644,0.302,0,"Sertoli Cells","HUWE1"
"ENSG00000100836",0,0.556116614648116,0.714,0.428,0,"Sertoli Cells","PABPN1"
"ENSG00000161513",0,0.5360678005466,0.624,0.21,0,"Sertoli Cells","FDXR"
"ENSG00000108179",0,0.524565236834928,0.565,0.175,0,"Sertoli Cells","PPIF"
"ENSG00000184205",0,0.523015763998008,0.582,0.208,0,"Sertoli Cells","TSPYL2"
"ENSG00000102996",0,0.52270672183198,0.522,0.106,0,"Sertoli Cells","MMP15"
"ENSG00000245532",0,0.51369204060367,0.536,0.199,0,"Sertoli Cells","NEAT1"
"ENSG00000235169",0,0.513229081327358,0.591,0.226,0,"Sertoli Cells","SMIM1"
"ENSG00000125827",0,0.498358312515613,0.614,0.306,0,"Sertoli Cells","TMX4"
"ENSG00000008517",0,0.496679930421901,0.471,0.152,0,"Sertoli Cells","IL32"
"ENSG00000139219",0,0.496509032128599,0.432,0.053,0,"Sertoli Cells","COL2A1"
"ENSG00000182985",0,0.493896893112619,0.526,0.132,0,"Sertoli Cells","CADM1"
"ENSG00000005187",0,0.493475140812826,0.503,0.14,0,"Sertoli Cells","ACSM3"
"ENSG00000139116",0,0.492994415723752,0.483,0.121,0,"Sertoli Cells","KIF21A"
"ENSG00000101098",0,0.491278276158987,0.464,0.037,0,"Sertoli Cells","RIMS4"
"ENSG00000102054",0,0.489746225698084,0.768,0.531,0,"Sertoli Cells","RBBP7"
"ENSG00000215845",0,0.487585964144879,0.524,0.147,0,"Sertoli Cells","TSTD1"
"ENSG00000122574",0,0.48241505781501,0.481,0.08,0,"Sertoli Cells","WIPF3"
"ENSG00000205336",0,0.473731645816875,0.454,0.058,0,"Sertoli Cells","ADGRG1"
"ENSG00000167191",0,0.473422849639208,0.501,0.12,0,"Sertoli Cells","GPRC5B"
"ENSG00000158710",0,0.472736341445808,0.696,0.404,0,"Sertoli Cells","TAGLN2"
"ENSG00000117450",0,0.471500753112837,0.906,0.743,0,"Sertoli Cells","PRDX1"
"ENSG00000129657",0,0.470754087687528,0.554,0.211,0,"Sertoli Cells","SEC14L1"
"ENSG00000129235",0,0.469697957532916,0.683,0.414,0,"Sertoli Cells","TXNDC17"
"ENSG00000167363",0,0.468768121903397,0.519,0.157,0,"Sertoli Cells","FN3K"
"ENSG00000143674",0,0.468674504106242,0.443,0.043,0,"Sertoli Cells","MAP3K21"
"ENSG00000198763",0,0.467083339104388,0.939,0.922,0,"Sertoli Cells","MT-ND2"
"ENSG00000154721",0,0.46611711047668,0.498,0.119,0,"Sertoli Cells","JAM2"
"ENSG00000163399",0,0.461379217796119,0.631,0.34,0,"Sertoli Cells","ATP1A1"
"ENSG00000151729",0,0.458586414385999,0.532,0.196,0,"Sertoli Cells","SLC25A4"
"ENSG00000104938",0,0.454702644949806,0.398,0.047,0,"Sertoli Cells","CLEC4M"
"ENSG00000143554",0,0.453140450791404,0.486,0.136,0,"Sertoli Cells","SLC27A3"
"ENSG00000130066",0,0.451387378727052,0.654,0.382,0,"Sertoli Cells","SAT1"
"ENSG00000137710",0,0.447331718246431,0.688,0.434,0,"Sertoli Cells","RDX"
"ENSG00000101400",0,0.444012350727918,0.454,0.084,0,"Sertoli Cells","SNTA1"
"ENSG00000171864",0,0.443973881976847,0.374,0.036,0,"Sertoli Cells","PRND"
"ENSG00000068878",0,0.443452877414537,0.481,0.142,0,"Sertoli Cells","PSME4"
"ENSG00000070404",0,0.44065840318522,0.439,0.111,0,"Sertoli Cells","FSTL3"
"ENSG00000103257",0,0.438930891962185,0.463,0.095,0,"Sertoli Cells","SLC7A5"
"ENSG00000126777",0,0.43570722459164,0.722,0.512,0,"Sertoli Cells","KTN1"
"ENSG00000114439",0,0.43370798657108,0.674,0.443,0,"Sertoli Cells","BBX"
"ENSG00000198888",0,0.433472121143033,0.966,0.962,0,"Sertoli Cells","MT-ND1"
"ENSG00000198886",0,0.432524382500414,0.973,0.98,0,"Sertoli Cells","MT-ND4"
"ENSG00000198157",0,0.431410067005067,0.479,0.16,0,"Sertoli Cells","HMGN5"
"ENSG00000198732",0,0.43052368238823,0.414,0.042,0,"Sertoli Cells","SMOC1"
"ENSG00000173402",0,0.428409162315642,0.473,0.137,0,"Sertoli Cells","DAG1"
"ENSG00000107742",0,0.428317187862342,0.437,0.073,0,"Sertoli Cells","SPOCK2"
"ENSG00000054654",0,0.425363417304921,0.601,0.357,0,"Sertoli Cells","SYNE2"
"ENSG00000160180",0,0.42352079648948,0.387,0.048,0,"Sertoli Cells","TFF3"
"ENSG00000198668",0,0.423475303073435,0.86,0.696,0,"Sertoli Cells","CALM1"
"ENSG00000065361",0,0.422546968552318,0.394,0.049,0,"Sertoli Cells","ERBB3"
"ENSG00000076826",0,0.421529328283732,0.409,0.048,0,"Sertoli Cells","CAMSAP3"
"ENSG00000140839",0,0.42042434193384,0.388,0.045,0,"Sertoli Cells","CLEC18B"
"ENSG00000089220",0,0.419663088433159,0.888,0.759,0,"Sertoli Cells","PEBP1"
"ENSG00000168453",0,0.418682455969703,0.396,0.025,0,"Sertoli Cells","HR"
"ENSG00000136574",0,0.417397959549674,0.637,0.353,0,"Sertoli Cells","GATA4"
"ENSG00000168913",0,0.416720790415531,0.412,0.068,0,"Sertoli Cells","ENHO"
"ENSG00000125505",0,0.416718442020293,0.537,0.242,0,"Sertoli Cells","MBOAT7"
"ENSG00000119812",0,0.41651571466882,0.494,0.193,0,"Sertoli Cells","FAM98A"
"ENSG00000068615",0,0.415939159083016,0.411,0.058,0,"Sertoli Cells","REEP1"
"ENSG00000096696",0,0.415419536807149,0.419,0.088,0,"Sertoli Cells","DSP"
"ENSG00000159399",0,0.409115875609134,0.405,0.068,0,"Sertoli Cells","HK2"
"ENSG00000130770",0,0.406824494528132,0.78,0.619,0,"Sertoli Cells","ATP5IF1"
"ENSG00000117592",0,0.404500254397145,0.906,0.801,0,"Sertoli Cells","PRDX6"
"ENSG00000123358",0,0.403003533286249,0.489,0.246,0,"Sertoli Cells","NR4A1"
"ENSG00000135447",0,0.399397692514728,0.417,0.104,0,"Sertoli Cells","PPP1R1A"
"ENSG00000135929",0,0.399189073769746,0.419,0.077,0,"Sertoli Cells","CYP27A1"
"ENSG00000125354",0,0.398611707375677,0.603,0.344,0,"Sertoli Cells","SEPTIN6"
"ENSG00000196368",0,0.397211390621282,0.467,0.167,0,"Sertoli Cells","NUDT11"
"ENSG00000047365",0,0.397104539771143,0.378,0.039,0,"Sertoli Cells","ARAP2"
"ENSG00000092621",0,0.396795451436992,0.703,0.484,0,"Sertoli Cells","PHGDH"
"ENSG00000186469",0,0.39555469655513,0.486,0.178,0,"Sertoli Cells","GNG2"
"ENSG00000170558",0,0.395304783744689,0.431,0.11,0,"Sertoli Cells","CDH2"
"ENSG00000166902",0,0.39457277725899,0.605,0.371,0,"Sertoli Cells","MRPL16"
"ENSG00000172346",0,0.393082777600909,0.394,0.061,0,"Sertoli Cells","CSDC2"
"ENSG00000171604",0,0.392405111923539,0.492,0.185,0,"Sertoli Cells","CXXC5"
"ENSG00000115138",0,0.391645276333608,0.423,0.135,0,"Sertoli Cells","POMC"
"ENSG00000088986",0,0.390274235822614,0.968,0.897,0,"Sertoli Cells","DYNLL1"
"ENSG00000133935",0,0.38844625061534,0.679,0.479,0,"Sertoli Cells","ERG28"
"ENSG00000035403",0,0.386109730535274,0.517,0.258,0,"Sertoli Cells","VCL"
"ENSG00000170921",0,0.385414839506985,0.417,0.104,0,"Sertoli Cells","TANC2"
"ENSG00000104973",0,0.383369079979817,0.475,0.182,0,"Sertoli Cells","MED25"
"ENSG00000275520",0,0.380130424537109,0.314,0.028,0,"Sertoli Cells","FAM236A"
"ENSG00000167034",0,0.378233948663737,0.364,0.032,0,"Sertoli Cells","NKX3-1"
"ENSG00000143195",0,0.37743600591896,0.361,0.029,0,"Sertoli Cells","ILDR2"
"ENSG00000165092",0,0.374563141026512,0.531,0.217,0,"Sertoli Cells","ALDH1A1"
"ENSG00000005249",0,0.37413564130212,0.557,0.3,0,"Sertoli Cells","PRKAR2B"
"ENSG00000072163",0,0.373202233943065,0.38,0.071,0,"Sertoli Cells","LIMS2"
