
  
Symbol            Airways                        Fallopian tubes               Staining Class  
                                                                                Category 1  
AGBL2             Cilia and cytoplasm            Cilia                          (1) Staining is specific to cilia  
AK7               Cilia                          Cilia                          (1) Staining is specific to cilia  
ANKRD45           Cilia                           Cilia                         (1) Staining is specific to cilia  
ARMC3             Cilia                           Cilia                         (1) Staining is specific to cilia  
ARMC4             Cilia                           Cilia                         (1) Staining is specific to cilia  
ARL6              Cilia                           Cilia                         (1) Staining is specific to cilia  
C1orf158          Cilia                           Cilia                         (1) Staining is specific to cilia  
C10orf63          Cilia                           Cilia                         (1) Staining is specific to cilia  
C20orf26          Cilia                           Cilia                         (1) Staining is specific to cilia  
C21orf59          Cilia and cytoplasm             Cilia                         (1) Staining is specific to cilia  
C3orf15           Cilia and cytoplasm             Cilia                         (1) Staining is specific to cilia  
C7orf57           Cilia                           Cilia                         (1) Staining is specific to cilia  
C7orf67           Cilia                           Cilia                         (1) Staining is specific to cilia  
C8orf47           Cilia                           Cilia                         (1) Staining is specific to cilia  
C9orf116          Cilia                           Cilia                         (1) Staining is specific to cilia  
C9orf117          Cilia                           Cilia                         (1) Staining is specific to cilia  
C9orf98           Cilia                           Cilia                         (1) Staining is specific to cilia  
CCDC104           Cilia                           Cilia                         (1) Staining is specific to cilia  
CCDC146           Cilia and cytoplasm             Cilia                         (1) Staining is specific to cilia  
CCDC147           Cilia                           Cilia                         (1) Staining is specific to cilia  
CCDC39            Cilia                           Cilia                         (1) Staining is specific to cilia  
CCDC40            Cilia                           Cilia                         (1) Staining is specific to cilia  
CETN2             Cilia and cytoplasm             Cilia                         (1) Staining is specific to cilia  
CYB5D1            Cilia and cytoplasm             Cilia                         (1) Staining is specific to cilia  
DCDC2             Apical cytoplasm               Cilia                          (1) Staining is specific to cilia  
DLEC1             Cilia                           Cilia                         (1) Staining is specific to cilia  
DNAH5             Cilia                           Cilia                         (1) Staining is specific to cilia  
DNAH7             Cilia                           Cilia                         (1) Staining is specific to cilia  
DNAH9             Cilia                           Cilia                         (1) Staining is specific to cilia  
DNAH12            Cilia                           Cilia                         (1) Staining is specific to cilia  
DNAI1             Cilia                           Cilia                         (1) Staining is specific to cilia  
DNAI2             Cilia                           Cilia                         (1) Staining is specific to cilia  
DNALI1            Cilia                           Cilia                         (1) Staining is specific to cilia  
DYDC2             Cilia                           Cilia                         (1) Staining is specific to cilia  
EFCAB1            Cilia                           Cilia                         (1) Staining is specific to cilia  
EFCAB6            Cilia                           Cilia                         (1) Staining is specific to cilia  
EFHB              Cilia                           Cilia                         (1) Staining is specific to cilia  
EFHC1             Cilia and cytoplasm            Cilia                          (1) Staining is specific to cilia  
EFHC2             Cilia                           Cilia                         (1) Staining is specific to cilia  
FLJ23834          Cilia                           Cilia                         (1) Staining is specific to cilia  

IQUB            Apical cytoplasm            Cilia                     (1) Staining is specific to cilia  
KIF9            Cilia                       Cilia                     (1) Staining is specific to cilia  
LCA5            Cilia                       Cilia                     (1) Staining is specific to cilia  
LRRC23          Cilia                       Cilia                     (1) Staining is specific to cilia  
LRRC34          Cilia                       Cilia                     (1) Staining is specific to cilia  
LRRC48          Cilia                       Cilia                     (1) Staining is specific to cilia  
MAP6            Cytoplasm                   Cilia                     (1) Staining is specific to cilia  
MDH1B           Cilia                       Cilia                     (1) Staining is specific to cilia  
MLF1            Cilia                       Cilia                     (1) Staining is specific to cilia  
MORN5           Cilia                       Cilia                     (1) Staining is specific to cilia  
MS4A8B          Cilia                       Cilia                     (1) Staining is specific to cilia  
