Gene_name	interaction_scores
A1BG	0.482676605710271
A1CF	0
A2M	0.332254385681664
A2ML1	0.4836906989694
A2MP1	0
A3GALT2	0.590154461053472
A4GALT	0.56573518418104
A4GNT	0.584262298238309
A12M1	0
A12M2	0
A12M3	0
A12M4	0
AAAS	0.632577813019841
AABT	0
AACS	0.361097691349197
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0.370250378879721
AAGAB	0
AAK1	0.524964063314277
AAMDC	0.544050310111794
AAMP	0.574409707586091
AANAT	0
AAR2	0.617922295559686
AARD	0.621344676043504
AARS1	0.590652363459953
AARS1P1	0
AARS2	0.315924798414721
AARSD1	0.67621758273607
AARSD1P1	0
AASDH	0.548601474311979
AASDHPPT	0.57245011984336
AASS	0.547175227310366
AATBC	0
AATF	0.441310223008392
AATK	0.514274079110359
AAVS1	0
ABALON	0
ABAT	0.207518452021607
ABCA1	0.585851939331977
ABCA2	0.606382431629238
ABCA3	0.441045430849119
ABCA4	0.476002717093406
ABCA5	0
ABCA6	0.375059457121195
ABCA7	0.500284020788992
ABCA8	0.549309530795625
ABCA9	0
ABCA10	0
ABCA11P	0
ABCA12	0.46618316553065
ABCA13	0.539138840616028
ABCA17P	0
ABCB1	0.655868544975046
ABCB4	0.498725519944114
ABCB5	0.423229196950673
ABCB6	0.231180198218268
ABCB7	0.45309285520947
ABCB8	0
ABCB9	0
ABCB10	0.242279351963108
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0
ABCC1	0.538081503833699
ABCC2	0.515682459004167
ABCC3	0.528372747738751
ABCC4	0.473859692684699
ABCC5	0.533104672523712
ABCC6	0
ABCC6P1	0
ABCC6P2	0
ABCC8	0.426277119507425
ABCC9	0
ABCC10	0.334589909855619
ABCC11	0
ABCC12	0
ABCC13	0
ABCD1	0.393722020805355
ABCD1P1	0
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0
ABCD3	0.465185747513486
ABCD4	0.258276143709885
ABCE1	0.659483828445149
ABCF1	0.616854509713186
ABCF2	0.5478817427142
ABCF2P1	0
ABCF2P2	0
ABCF3	0.585024957818804
ABCG1	0.394189881934096
ABCG2	0.741146330627643
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0
ABHD2	0
ABHD3	0.421913063597875
ABHD4	0.338189886399162
ABHD5	0.416997396729042
ABHD6	0.345669481179642
ABHD8	0.412467622999083
ABHD10	0.56040894217057
ABHD11	0.174786413191554
ABHD12	0.454858315871672
ABHD12B	0
ABHD13	0
ABHD14A	0.554841447482371
ABHD14B	0.41959044553177
ABHD15	0.634600601615341
ABHD16A	0.27825462729789
ABHD16B	0.498725519944114
ABHD17A	0.56924151094215
ABHD17AP1	0
ABHD17AP3	0
ABHD17AP4	0
ABHD17AP5	0
ABHD17AP6	0
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	0.552915255748303
ABHD17C	0.531841810678583
ABHD18	0
ABI1	0.566731887696521
ABI1P1	0
ABI2	0.574966070750995
ABI3	0.5109852630365
ABI3BP	0
ABITRAM	0.380231900826572
ABITRAMP1	0
ABL1	0.678609142793684
ABL2	0.526403164002621
ABLIM1	0.709673424858919
ABLIM2	0.544001787883734
ABLIM3	0.644642748163707
ABO	0
ABR	0.53257478088807
ABRA	0.506927553257439
ABRACL	0.605557368396942
ABRAXAS1	0.355491131379535
ABRAXAS2	0.545946097648535
ABT1	0.505999768160349
ABT1P1	0
ABTB1	0.557032143422993
ABTB2	0.758956151902106
ACAA1	0.508648476510382
ACAA2	0.505037286566127
ACACA	0.56323323651187
ACACB	0.481229435231899
ACAD	0
ACAD8	0.328849915323908
ACAD9	0.378103729959561
ACAD10	0.635612058030552
ACAD11	0.504246419079653
ACADL	0.297579311382957
ACADM	0.482158837633783
ACADS	0.454419090670775
ACADSB	0.650275614996414
ACADVL	0.491538565281161
ACAN	0.426277119507425
ACAP1	0.577632037701632
ACAP2	0.52170142773652
ACAP3	0.597912204183357
ACAT1	0.542803859860837
ACAT2	0
ACBD3	0.591169988543565
ACBD4	0.58704913187524
ACBD5	0.565958847012624
ACBD6	0.366269246333997
ACBD7	0
ACCS	0.58255418432177
ACCSL	0
ACD	0.590660886389208
ACE	0.51792345462281
ACE2	0.643551630839329
ACE3P	0
ACER1	0
ACER2	0
ACER2P1	0
ACER3	0.448676504450524
ACHE	0.353730840810063
ACIN1	0.647548604500749
ACKR1	0
ACKR2	0.209565780408275
ACKR3	0
ACKR4	0
ACKR4P1	0
ACLS	0
ACLY	0.659013666150395
ACMG	0
ACMSD	0.587346830717916
ACNATP	0
ACO1	0.455011756297225
ACO2	0.547002720902028
ACOD1	0.469957355080656
ACOT1	0.293473670989748
ACOT2	0.186527061403825
ACOT4	0
ACOT6	0
ACOT7	0.389456113723749
ACOT8	0.262779835878046
ACOT9	0.590827011855957
ACOT11	0.502126776392507
ACOT12	0
ACOT13	0.453165490862386
ACOX1	0.578906047867568
ACOX2	0.625578353655234
ACOX3	0
ACOXL	0.41959044553177
ACP1	0.615854506931287
ACP2	0.348208703596053
ACP3	0.50796009734123
ACP4	0
ACP5	0
ACP6	0.289081500639174
ACP7	0
ACR	0.448676504450524
ACRBP	0.504415294494835
ACRP1	0
ACRV1	0.50127587655766
ACSBG1	0.610193092002738
ACSBG2	0
ACSF2	0.529672991499582
ACSF3	0.382255090141768
ACSL1	0.357976885718901
ACSL3	0.685231230107465
ACSL4	0.579509117073228
ACSL5	0.4166943863318
ACSL6	0.407143255167761
ACSM1	0
ACSM2A	0
ACSM2B	0.498725519944114
ACSM3	0
ACSM4	0
ACSM5	0
ACSM5P1	0
ACSM6	0
ACSS1	0.315845059310043
ACSS2	0
ACSS3	0
ACTA1	0.65264931941026
ACTA2	0.581644604555624
ACTB	0.717860172241555
ACTBL2	0.660026979968662
ACTBP1	0
ACTBP2	0
ACTBP3	0
ACTBP4	0
ACTBP5	0
ACTBP6	0
ACTBP7	0
ACTBP8	0
ACTBP9	0
ACTBP10	0
ACTBP11	0
ACTBP12	0
ACTBP14	0
ACTBP15	0
ACTC1	0.607375663029082
ACTE1P	0
ACTG1	0.726504966998769
ACTG1P1	0
ACTG1P2	0
ACTG1P3	0
ACTG1P4	0
ACTG1P6	0
ACTG1P7	0
ACTG1P8	0
ACTG1P9	0
ACTG1P10	0
ACTG1P11	0
ACTG1P12	0
ACTG1P13	0
ACTG1P14	0
ACTG1P15	0
ACTG1P16	0
ACTG1P17	0
ACTG1P18	0
ACTG1P19	0
ACTG1P20	0
ACTG1P21	0
ACTG1P22	0
ACTG1P23	0
ACTG1P24	0
ACTG1P25	0
ACTG2	0.610879947410994
ACTL4	0
ACTL5	0
ACTL6A	0.680315846326808
ACTL6B	0.658431283165778
ACTL7A	0
ACTL7B	0.52426732821474
ACTL8	0
ACTL9	0
ACTL10	0
ACTL11P	0
ACTN1	0.697864629320763
ACTN2	0.70308225336201
ACTN3	0.538815334282976
ACTN4	0.676803939031661
ACTN4P1	0
ACTN4P2	0
ACTP1	0
ACTR1A	0.627540937700922
ACTR1AP1	0
ACTR1B	0.617119857585453
ACTR2	0.70497235748049
ACTR3	0.707438806714994
ACTR3B	0.610772583184486
ACTR3BP1	0
ACTR3BP2	0
ACTR3BP3	0
ACTR3BP4	0
ACTR3BP5	0
ACTR3BP6	0
ACTR3BP7	0
ACTR3C	0
ACTR3P1	0
ACTR3P2	0
ACTR3P3	0
ACTR5	0.6572714982274
ACTR6	0.701493369139501
ACTR6P1	0
ACTR8	0.698650960226904
ACTR10	0.505928018558017
ACTRT1	0.557612036626337
ACTRT1P1	0
ACTRT2	0.457116763800055
ACTRT3	0.600335043710953
ACVR1	0.659736541991538
ACVR1B	0.609659056822031
ACVR1C	0.599239034856434
ACVR2A	0.387720674279439
ACVR2B	0.607191818090859
ACVRL1	0.491305712385456
ACY1	0.498436535012181
ACY3	0.286491156956461
ACYP1	0.569731573890865
ACYP2	0
AD5	0
ADA	0.409673724928864
ADA2	0.443478685586222
ADAD1	0.407143255167761
ADAD1P1	0
ADAD1P2	0
ADAD2	0.46618316553065
ADAL	0.400390467631477
ADAM1A	0
ADAM1B	0
ADAM2	0
ADAM3A	0
ADAM3B	0
ADAM5	0.440768628223223
ADAM6	0
ADAM7	0.302753091260459
ADAM8	0.397822703781297
ADAM9	0.471649878023778
ADAM10	0.519262111017672
ADAM11	0.508148612135738
ADAM12	0.33525921231608
ADAM15	0.558386248835271
ADAM17	0.638201808677006
ADAM18	0
ADAM19	0.406472004908342
ADAM20	0
ADAM20P1	0
ADAM20P2	0
ADAM20P3	0
ADAM21	0
ADAM21P1	0
ADAM22	0.264990362171372
ADAM23	0.381478013210059
ADAM24P	0
ADAM28	0
ADAM29	0
ADAM30	0
ADAM32	0.327646330192591
ADAM33	0.629416311018418
ADAMDEC1	0
ADAMTS1	0.215900691380657
ADAMTS2	0.549194413044955
ADAMTS3	0
ADAMTS4	0.630768212116083
ADAMTS5	0.397587706952088
ADAMTS6	0.476002717093406
ADAMTS7	0.394235851020109
ADAMTS7P1	0
ADAMTS7P3	0
ADAMTS7P4	0
ADAMTS8	0
ADAMTS9	0.352031049834542
ADAMTS10	0
ADAMTS12	0.269510586961833
ADAMTS13	0.476983260635729
ADAMTS14	0
ADAMTS15	0.448676504450524
ADAMTS16	0
ADAMTS17	0.608151808240229
ADAMTS18	0.503224208186819
ADAMTS19	0
ADAMTS20	0.486756923169579
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	0
ADAMTSL4	0.526770205670911
ADAMTSL5	0
ADAP1	0.48257613653244
ADAP2	0.571353290033324
ADAR	0.425846008910415
ADARB1	0.169154047482694
ADARB2	0
ADAT1	0
ADAT2	0.352031049834542
ADAT3	0.592877915718431
ADCK1	0.566602853721646
ADCK2	0.419189669730715
ADCK5	0.281440950159246
ADCP1	0
ADCY1	0.479081590680524
ADCY2	0.435576751772943
ADCY3	0.584407320255542
ADCY4	0.605701710131581
ADCY5	0.613583900424892
ADCY6	0.542811521236495
ADCY7	0
ADCY8	0.380039323866459
ADCY9	0.467412315006012
ADCY10	0
ADCY10P1	0
ADCYAP1	0.465554747914981
ADCYAP1R1	0.525614405537802
ADD1	0.542528240548517
ADD2	0.621885231672117
ADD3	0.548977910340096
ADFN	0
ADGB	0
ADGRA1	0
ADGRA2	0
ADGRA3	0
ADGRB1	0.653794585203177
ADGRB2	0
ADGRB3	0
ADGRD1	0
ADGRD2	0
ADGRE1	0
ADGRE2	0
ADGRE3	0
ADGRE4P	0.361905075005802
ADGRE5	0.288278908314008
ADGRF1	0
ADGRF2	0
ADGRF3	0.426277119507425
ADGRF4	0
ADGRF5	0
ADGRF5P1	0
ADGRF5P2	0
ADGRG1	0.477425546881046
ADGRG2	0.579210850084498
ADGRG3	0
ADGRG4	0.512390167234094
ADGRG5	0.376686508786143
ADGRG6	0
ADGRG7	0
ADGRL1	0.246413665240474
ADGRL2	0.636575671636742
ADGRL3	0
ADGRL4	0
ADGRV1	0.609643932265561
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	0
ADH5	0.461975292558649
ADH5P1	0
ADH5P2	0
ADH5P3	0
ADH5P4	0
ADH5P5	0
ADH6	0
ADH7	0
ADHFE1	0
ADI1	0.503132767676017
ADI1P1	0
ADI1P2	0
ADI1P3	0
ADIG	0
ADIPOQ	0.407807609889581
ADIPOR1	0.620144164593214
ADIPOR1P1	0
ADIPOR1P2	0
