Gene_name	interaction_scores
A1BG	0.203577300375385
A1BG-AS1	0
A1CF	0
A2M	0.273487778874287
A2M-AS1	0
A2ML1	0.169466097021135
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0
A3GALT2	0.121280850558914
A4GALT	0.281291450589024
A4GNT	0.36999036697474
A12M1	0
A12M2	0
A12M3	0
A12M4	0
AAAS	0.401141027385278
AABT	0
AACS	0.0332522937123658
AACSP1	0
AADAC	0
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	0.00440311966450046
AAGAB	0
AAK1	0.414194777360369
AAMDC	0.263884349768632
AAMP	0.290576995328456
AANAT	0
AAR2	0.675507565065748
AARD	0.344143346831258
AARS1	0.231425438744748
AARS1P1	0
AARS2	0.117273038099396
AARSD1	0.566126918489101
AARSD1P1	0
AASDH	0.0299474555322138
AASDHPPT	0.205217518638484
AASS	0.105486956590308
AATBC	0
AATF	0.413123118033065
AATK	0.275251057475976
AAVS1	0
ABALON	0
ABAT	0.00980857444766443
ABCA1	0.231115598548224
ABCA2	0.287540393346069
ABCA3	0.11483747790089
ABCA4	0.122700683211407
ABCA5	0
ABCA6	0.299783914238138
ABCA7	0.0792078373836379
ABCA8	0.125941249258775
ABCA9	0
ABCA9-AS1	0
ABCA10	0
ABCA11P	0
ABCA12	0.0289090877366223
ABCA13	0.019359980305642
ABCA17P	0
ABCB1	0.304994851641217
ABCB4	0.122223577821253
ABCB5	0.122158493532562
ABCB6	0.0735057912298137
ABCB7	0.201874716932386
ABCB8	0
ABCB9	0
ABCB10	0.0368244206240723
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0
ABCC1	0.327484241165948
ABCC2	0.243320725402515
ABCC3	0.128085423366338
ABCC4	0.258500772383174
ABCC5	0.169892289500595
ABCC5-AS1	0
ABCC6	0
ABCC6P1	0
ABCC6P2	0
ABCC8	0.00492633334231414
ABCC9	0
ABCC10	0.106756966249564
ABCC11	0
ABCC12	0
ABCC13	0
ABCD1	0.0711045010258104
ABCD1P1	0
