HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol
HGNC:5	Approved	A1BG		
HGNC:37133	Approved	A1BG-AS1	FLJ23569	NCRNA00181
HGNC:37133	Approved	A1BG-AS1	FLJ23569	A1BGAS
HGNC:37133	Approved	A1BG-AS1	FLJ23569	A1BG-AS
HGNC:24086	Approved	A1CF	ACF	
HGNC:24086	Approved	A1CF	ASP	
HGNC:24086	Approved	A1CF	ACF64	
HGNC:24086	Approved	A1CF	ACF65	
HGNC:24086	Approved	A1CF	APOBEC1CF	
HGNC:7	Approved	A2M	FWP007	
HGNC:7	Approved	A2M	S863-7	
HGNC:7	Approved	A2M	CPAMD5	
HGNC:27057	Approved	A2M-AS1		
HGNC:23336	Approved	A2ML1	FLJ25179	CPAMD9
HGNC:23336	Approved	A2ML1	p170	CPAMD9
HGNC:41022	Approved	A2ML1-AS1		
HGNC:41523	Approved	A2ML1-AS2		
HGNC:8	Approved	A2MP1		A2MP
HGNC:30005	Approved	A3GALT2	IGBS3S	A3GALT2P
HGNC:30005	Approved	A3GALT2	IGB3S	A3GALT2P
HGNC:18149	Approved	A4GALT	A14GALT	P1
HGNC:18149	Approved	A4GALT	Gb3S	P1
HGNC:18149	Approved	A4GALT	P(k)	P1
HGNC:17968	Approved	A4GNT	alpha4GnT	
HGNC:1	Entry Withdrawn	A12M1		
HGNC:2	Entry Withdrawn	A12M2		
HGNC:3	Entry Withdrawn	A12M3		
HGNC:4	Entry Withdrawn	A12M4		
HGNC:13666	Approved	AAAS		
HGNC:12	Entry Withdrawn	AABT		
HGNC:21298	Approved	AACS	FLJ12389	
HGNC:21298	Approved	AACS	SUR-5	
HGNC:21298	Approved	AACS	ACSF1	
HGNC:18226	Approved	AACSP1		AACSL
HGNC:17	Approved	AADAC	DAC	
HGNC:17	Approved	AADAC	CES5A1	
HGNC:24427	Approved	AADACL2	MGC72001	
HGNC:50301	Approved	AADACL2-AS1		
HGNC:32037	Approved	AADACL3	OTTHUMG00000001887	
HGNC:32038	Approved	AADACL4	OTTHUMG00000001889	
HGNC:50305	Approved	AADACP1		
HGNC:17929	Approved	AADAT	KATII	
HGNC:17929	Approved	AADAT	KAT2	
HGNC:17929	Approved	AADAT	KYAT2	
HGNC:25662	Approved	AAGAB	FLJ11506	
HGNC:25662	Approved	AAGAB	p34	
HGNC:19679	Approved	AAK1	KIAA1048	
HGNC:19679	Approved	AAK1	DKFZp686K16132	
HGNC:30205	Approved	AAMDC	PTD015	C11orf67
HGNC:30205	Approved	AAMDC	FLJ21035	C11orf67
HGNC:30205	Approved	AAMDC	CK067	C11orf67
HGNC:18	Approved	AAMP		
HGNC:19	Approved	AANAT	SNAT	
HGNC:15886	Approved	AAR2	bA234K24.2	C20orf4
HGNC:33842	Approved	AARD	LOC441376	C8orf85
HGNC:20	Approved	AARS1	CMT2N	AARS
HGNC:20	Approved	AARS1	AlaRS	AARS
HGNC:49894	Approved	AARS1P1		AARSP1
HGNC:21022	Approved	AARS2	KIAA1270	AARSL
HGNC:21022	Approved	AARS2	bA444E17.1	AARSL
HGNC:28417	Approved	AARSD1	MGC2744	
HGNC:28417	Approved	AARSD1	AlaXp	
HGNC:54994	Approved	AARSD1P1		
HGNC:23993	Approved	AASDH	NRPS998	
HGNC:23993	Approved	AASDH	LYS2	
HGNC:23993	Approved	AASDH	ACSF4	
HGNC:14235	Approved	AASDHPPT	LYS5	
HGNC:14235	Approved	AASDHPPT	CGI-80	
HGNC:14235	Approved	AASDHPPT	AASD-PPT	
HGNC:14235	Approved	AASDHPPT	ACPS	
HGNC:17366	Approved	AASS	LORSDH	
HGNC:17366	Approved	AASS	LKRSDH	
HGNC:51526	Approved	AATBC		
HGNC:19235	Approved	AATF	DED	
HGNC:19235	Approved	AATF	CHE-1	
HGNC:19235	Approved	AATF	CHE1	
HGNC:19235	Approved	AATF	BFR2	
HGNC:21	Approved	AATK	AATYK	
HGNC:21	Approved	AATK	KIAA0641	
HGNC:21	Approved	AATK	LMTK1	
HGNC:21	Approved	AATK	LMR1	
HGNC:21	Approved	AATK	AATYK1	
HGNC:21	Approved	AATK	PPP1R77	
HGNC:22	Approved	AAVS1	AAV	
HGNC:49667	Approved	ABALON	INXS	
HGNC:23	Approved	ABAT	GABAT	
HGNC:23	Approved	ABAT	GABA-T	
HGNC:29	Approved	ABCA1	TGD	ABC1
HGNC:29	Approved	ABCA1	TGD	HDLDT1
HGNC:32	Approved	ABCA2		ABC2
HGNC:33	Approved	ABCA3	ABC-C	ABC3
HGNC:33	Approved	ABCA3	EST111653	ABC3
HGNC:33	Approved	ABCA3	LBM180	ABC3
HGNC:55707	Approved	ABCA3P1		
HGNC:34	Approved	ABCA4	FFM	STGD1
HGNC:34	Approved	ABCA4	FFM	ABCR
HGNC:34	Approved	ABCA4	FFM	RP19
HGNC:34	Approved	ABCA4	FFM	STGD
HGNC:34	Approved	ABCA4	ARMD2	STGD1
HGNC:34	Approved	ABCA4	ARMD2	ABCR
