Organism
Homo sapiens
Pan troglodytes
Macaca mulatta
Gorilla gorilla gorilla
Felis catus
Canis lupus familiaris
Rattus norvegicus
Mus musculus
Gallus gallus
Xenopus tropicalis
Xenopus laevis
Danio rerio
Takifugu rubripes
Trichoplax adhaerens
Strongylocentrotus purpuratus
Ciona intestinalis
Phytophthora sojae
Phytophthora infestans
Apis mellifera
Lottia gigantea
Micromonas commoda
Branchiostoma floridae
Nematostella vectensis
Tetrahymena thermophila
Monosiga brevicollis
Drosophila melanogaster
Caenorhabditis elegans
Chlamydomonas reinhardtii
Trypanosoma brucei
Anopheles gambiae
Batrachochytrium dendrobatidis
Micromonas pusilla RCC299
Volvox carteri
Physcomitrella patens
Selaginella moellendorffii
Thalassiosira pseudonana
Emiliania huxleyi
Paramecium tetraurelia
Toxoplasma gondii ME49
Naegleria gruberi
Trichomonas vaginalis
Giardia intestinalis
Leishmania major
Giardia lamblia
Aureococcus anophagefferens
Plasmodium falciparum
Theileria annulata
Populus trichocarpa
Arabidopsis thaliana
Oryza sativa
Saccharomyces cerevisiae
Encephalitozoon cuniculi
Rhizopus oryzae
Phycomyces blakesleeanus
Ustilago maydis
Cryptococcus neoformans
Schizosaccharomyces pombe
Neurospora crassa
Yarrowia lipolytica
Debaryomyces hansenii
Kluyveromyces lactis
Candida glabrata
Dictyostelium discoideum
Entamoeba histolytica
Cyanidioschyzon merolae
Ostreococcus tauri
Phaeodactylum tricornutum
Coccomyxa subellipsoidea
Hyaloperonospora arabidopsidis
Acanthamoeba castellanii
Fonticula alba
Rhizophagus irregularis
Sphaeroforma arctica
Capsaspora owczarzaki
Cryptosporidium parvum
Enterobacter cloacae
