"";"X";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene";"gene_names";"gene_name";"score";"human_symbol"
"1";"WBGene00007883";"0";"1.45670234999906";"0.633";"0.033";"0";"Sensory";"WBGene00007883";"C33A12.4";"WBGene00007883";"0.6";""
"2";"WBGene00011289";"0";"1.44955423790735";"0.498";"0.034";"0";"Sensory";"WBGene00011289";"R102.2";"WBGene00011289";"0.464";""
"3";"WBGene00010262";"0";"0.689141612619331";"0.269";"0.057";"0";"Sensory";"WBGene00010262";"droe-4";"WBGene00010262";"0.212";""
"4";"WBGene00002113";"0";"0.659811680893995";"0.243";"0.024";"0";"Sensory";"WBGene00002113";"ins-30";"WBGene00002113";"0.219";""
"5";"WBGene00015117";"0";"0.632349529698443";"0.247";"0.001";"0";"Sensory";"WBGene00015117";"B0294.1";"WBGene00015117";"0.246";""
"6";"WBGene00007553";"0";"0.61272774499696";"0.243";"0.004";"0";"Sensory";"WBGene00007553";"C13G3.1";"WBGene00007553";"0.239";""
"7";"WBGene00016114";"0";"0.60164056170526";"0.173";"0.046";"0";"Sensory";"WBGene00016114";"flp-27";"WBGene00016114";"0.127";""
"8";"WBGene00012753";"0";"0.58865386304545";"0.209";"0.001";"0";"Sensory";"WBGene00012753";"Y41C4A.6";"WBGene00012753";"0.208";""
"9";"WBGene00015790";"0";"0.587586773654486";"0.28";"0.022";"0";"Sensory";"WBGene00015790";"C15C7.4";"WBGene00015790";"0.258";""
"10";"WBGene00021268";"0";"0.580679203860351";"0.144";"0.003";"0";"Sensory";"WBGene00021268";"capa-1";"WBGene00021268";"0.141";""
"11";"WBGene00002086";"0";"0.540169308263605";"0.204";"0.004";"0";"Sensory";"WBGene00002086";"ins-3";"WBGene00002086";"0.2";""
"12";"WBGene00000188";"0";"0.531793728400948";"0.436";"0.003";"0";"Sensory";"WBGene00000188";"arl-3";"WBGene00000188";"0.433";"ARL3"
"13";"WBGene00003178";"0";"0.507521937714644";"0.085";"0.002";"0";"Sensory";"WBGene00003178";"mec-17";"WBGene00003178";"0.083";"ATAT1"
"14";"WBGene00000903";"0";"0.49018274652193";"0.206";"0.001";"0";"Sensory";"WBGene00000903";"daf-7";"WBGene00000903";"0.205";"MSTN"
"15";"WBGene00002109";"0";"0.472165901430019";"0.152";"0.006";"0";"Sensory";"WBGene00002109";"ins-26";"WBGene00002109";"0.146";""
"16";"WBGene00010864";"0";"0.470053403643478";"0.359";"0.001";"0";"Sensory";"WBGene00010864";"xbx-3";"WBGene00010864";"0.358";""
"17";"WBGene00000920";"0";"0.460573585182574";"0.219";"0.01";"0";"Sensory";"WBGene00000920";"daf-28";"WBGene00000920";"0.209";""
"18";"WBGene00003591";"0";"0.45924980571921";"0.245";"0.001";"0";"Sensory";"WBGene00003591";"nex-4";"WBGene00003591";"0.244";"ANXA5"
"19";"WBGene00019732";"0";"0.451496788529515";"0.187";"0.001";"0";"Sensory";"WBGene00019732";"M02D8.6";"WBGene00019732";"0.186";""
"20";"WBGene00002089";"0";"0.430784688060003";"0.108";"0.001";"0";"Sensory";"WBGene00002089";"ins-6";"WBGene00002089";"0.107";""
"21";"WBGene00004346";"0";"0.43002263624401";"0.297";"0.003";"0";"Sensory";"WBGene00004346";"rgs-3";"WBGene00004346";"0.294";"RGS8"
"22";"WBGene00010236";"0";"0.428787757806034";"0.286";"0.001";"0";"Sensory";"WBGene00010236";"F58B4.3";"WBGene00010236";"0.285";""
"23";"WBGene00045331";"0";"0.428388248167635";"0.207";"0.001";"0";"Sensory";"WBGene00045331";"F14D7.12";"WBGene00045331";"0.206";""
"24";"WBGene000095341";"0";"0.411573708428202";"0.371";"0.083";"0";"Sensory";"WBGene00009534";NA;"WBGene000095341";"0.288";""
"25";"WBGene00018869";"0";"0.407930100662538";"0.368";"0.029";"0";"Sensory";"WBGene00018869";"rfip-1";"WBGene00018869";"0.339";"RAB11FIP3"
"26";"WBGene00016634";"0";"0.407013445630939";"0.251";"0.023";"0";"Sensory";"WBGene00016634";"C44B11.4";"WBGene00016634";"0.228";""
"27";"WBGene00002107";"0";"0.407008062290751";"0.174";"0.011";"0";"Sensory";"WBGene00002107";"ins-24";"WBGene00002107";"0.163";""
"28";"WBGene00015053";"0";"0.398524026315087";"0.305";"0.001";"0";"Sensory";"WBGene00015053";"B0222.1";"WBGene00015053";"0.304";""
"29";"WBGene00045482";"0";"0.39204563220967";"0.126";"0.002";"0";"Sensory";"WBGene00045482";"T03F6.9";"WBGene00045482";"0.124";""
