Ensemble_number,"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_name","score"
"ENSG00000162571",0,3.02191174591521,0.854,0.016,0,"TTLL10",0.838
"ENSG00000142609",0,2.93904251991969,0.767,0.007,0,"CFAP74",0.76
"ENSG00000116151",0,2.26747392090256,0.658,0.033,0,"MORN1",0.625
"ENSG00000157330",0,2.7548794596054,0.601,0.002,0,"CFAP107",0.599
"ENSG00000142621",0,3.20920516336799,0.907,0.011,0,"FHAD1",0.896
"ENSG00000058453",0,1.73457526564499,0.648,0.061,0,"CROCC",0.587
"ENSG00000162543",0,2.83803061112134,0.708,0.007,0,"UBXN10",0.701
"ENSG00000158062",0,1.96638064441961,0.877,0.09,0,"UBXN11",0.787
"ENSG00000174950",0,2.72124598778303,0.824,0.046,0,"CD164L2",0.778
"ENSG00000222046",0,2.67511502179215,0.571,0.002,0,"DCDC2B",0.569
"ENSG00000092850",0,3.01352895013903,0.767,0.003,0,"TEKT2",0.764
"ENSG00000116885",0,2.62204921114141,0.738,0.035,0,"OSCP1",0.703
"ENSG00000163879",0,2.97320796829461,0.91,0.037,0,"DNALI1",0.873
"ENSG00000186409",0,2.57339995996526,0.827,0.034,0,"CCDC30",0.793
"ENSG00000186973",0,3.06046919970002,0.877,0.029,0,"CFAP144",0.848
"ENSG00000243710",0,2.84094958972366,0.684,0.005,0,"CFAP57",0.679
"ENSG00000198520",0,1.53596190398889,0.601,0.04,0,"ARMH1",0.561
"ENSG00000142959",0,2.66144371795251,0.744,0.007,0,"BEST4",0.737
"ENSG00000188396",0,2.91247573142267,0.701,0.003,0,"DYNLT4",0.698
"ENSG00000159588",0,3.15859975085872,0.957,0.027,0,"CCDC17",0.93
"ENSG00000203985",0,3.28092075837096,0.914,0.005,0,"LDLRAD1",0.909
"ENSG00000187889",0,2.19907358375277,0.545,0.018,0,"FYB2",0.527
"ENSG00000162598",0,2.77299620748862,0.618,0.001,0,"C1orf87",0.617
"ENSG00000152760",0,2.82543347776966,0.781,0.016,0,"DYNLT5",0.765
"ENSG00000152763",0,2.97850789460585,0.811,0.014,0,"DNAI4",0.797
"ENSG00000178965",0,3.35087216700048,0.947,0.002,0,"ERICH3",0.945
"ENSG00000137941",0,1.42948463682473,0.575,0.033,0,"TTLL7",0.542
"ENSG00000162643",0,3.02090204852373,0.784,0.002,0,"DNAI3",0.782
"ENSG00000179902",0,3.13948923405187,0.854,0.011,0,"CFAP276",0.843
"ENSG00000173947",0,3.17377475745375,0.947,0.026,0,"PIFO",0.921
"ENSG00000233730",0,2.66695910517067,0.601,0.001,0,"LINC01765",0.6
"ENSG00000155761",0,3.30050353347105,0.944,0.007,0,"SPAG17",0.937
