Gene_name;Counts;Studies
AAAS;1;              Habermann              
AAGAB;1;              Habermann              
AAMDC;1;              Habermann              
AAMP;1;              Habermann              
AASDHPPT;1;              Habermann              
ABCA5;5;Reyfman   Carraro   Habermann   Murthy   Trachea
ABCA13;5;Reyfman   Carraro   Habermann   Murthy   Trachea
ABCB8;1;              Habermann              
ABCC5;4;Reyfman   Carraro   Habermann   Murthy       
ABCC6;2;       Carraro   Habermann              
ABCD3;3;Reyfman   Carraro   Habermann              
ABCF1;1;              Habermann              
ABCF3;1;              Habermann              
ABHD2;3;Reyfman   Carraro   Habermann              
ABHD6;1;       Carraro                     
ABHD10;1;              Habermann              
ABHD11;3;Reyfman   Carraro   Habermann              
ABHD14A;1;                     Murthy       
ABHD17A;1;              Habermann              
ABHD17B;1;       Carraro                     
ABHD17C;1;              Habermann              
ABI1;2;Reyfman   Carraro                     
ABI2;4;Reyfman   Carraro   Habermann   Murthy       
ABITRAM;2;       Carraro   Habermann              
ABLIM1;1;Reyfman                            
ABO;3;Reyfman   Carraro   Habermann              
ABR;1;              Habermann              
ABRACL;1;                     Murthy       
ABRAXAS1;1;              Habermann              
ACACA;1;              Habermann              
ACADM;3;Reyfman          Habermann   Murthy       
ACADSB;1;              Habermann              
ACADVL;1;              Habermann              
ACAP1;3;Reyfman   Carraro   Habermann              
ACAT1;2;       Carraro   Habermann              
ACBD3;1;              Habermann              
ACBD6;1;              Habermann              
ACE;1;                     Murthy       
ACIN1;1;              Habermann              
ACKR1;1;                     Murthy       
ACKR4;2;       Carraro          Murthy       
ACLY;3;Reyfman   Carraro   Habermann              
ACOT8;2;       Carraro   Habermann              
ACP1;1;              Habermann              
ACP5;1;                     Murthy       
ACSS1;3;       Carraro   Habermann   Murthy       
ACTA2;1;                     Murthy       
ACTL6A;1;              Habermann              
ACTN4;2;Reyfman          Habermann              
ACTR1B;1;              Habermann              
ACTR2;1;       Carraro                     
ACTR3;1;       Carraro                     
ACTR6;2;       Carraro   Habermann              
ACTR10;1;              Habermann              
ACVR1;1;              Habermann              
ACVR1B;3;Reyfman   Carraro   Habermann              
ACVR2B;1;Reyfman                            
ACVRL1;1;                     Murthy       
ACYP1;3;Reyfman   Carraro   Habermann              
ACYP2;1;              Habermann              
ADAM12;1;                     Murthy       
ADAMTS1;1;                     Murthy       
ADAR;3;Reyfman   Carraro   Habermann              
ADD1;1;Reyfman                            
ADD3;2;Reyfman   Carraro                     
ADGB;5;Reyfman   Carraro   Habermann   Murthy   Trachea
ADGRE5;1;       Carraro                     
ADGRF1;3;       Carraro   Habermann          Trachea
ADGRF5;1;                     Murthy       
ADGRG6;1;                     Murthy       
ADGRL2;1;                     Murthy       
ADGRL4;1;                     Murthy       
ADGRV1;1;                     Murthy       
