"","genes","Cao","CenGen"
"1","DYNC2H1",1,1
"2","NPDC1",1,1
"3","LOXHD1",1,1
"4","APLP1",1,1
"5","PAM",1,1
"6","NPHP4",1,1
"7","AKT1",1,1
"8","ALK",1,1
"9","WDR19",1,1
"10","CD9",1,1
"11","ATF1",1,1
"12","RAB11FIP3",1,1
"13","TOGARAM1",1,1
"14","CAMTA2",1,1
"15","FOXO1",1,1
"16","GDE1",1,1
"17","KIF17",1,1
"18","IFT140",1,1
"19","KCNN1",1,1
"20","PDE2A",1,1
"21","GUCY2D",1,1
"22","GNAO1",1,1
"23","EGFLAM",1,1
"24","PRKCE",1,1
"25","TRPV5",1,1
"26","RABGEF1",1,1
"27","DYRK3",1,1
"28","ARHGAP6",1,1
"29","WDR35",1,1
"30","FOXP1",1,1
"31","LITAF",1,1
"32","TUB",1,1
"33","GUCY1B1",1,1
"34","IFT172",1,1
"35","KCNH5",1,1
"36","IFT122",1,1
"37","TTLL11",1,1
"38","SCYL2",1,1
"39","KCNA1",1,1
"40","CAMK1",1,1
"41","MAPK1",1,1
"42","NPC1",1,1
"43","ATF2",1,1
"44","PTCHD1",1,1
"45","ARPP21",1,1
"46","IFT81",1,1
"47","IFT88",1,1
"48","BBS7",1,1
"49","RXRA",1,1
"50","SLC13A2",1,1
"51","IFT74",1,1
"52","EGLN1",1,1
"53","IFT46",1,1
"54","MAK",1,1
"55","BAIAP3",1,1
"56","ARRDC1",1,1
"57","GUK1",1,1
"58","TRAF3IP1",1,1
"59","CNGB1",1,1
"60","ZMYND11",1,1
"61","TTC8",1,1
"62","SLC35F6",1,1
"63","ARMC9",1,1
"64","TUBB4B",1,1
"65","PDE1A",1,1
"66","CC2D2A",1,1
"67","SEC14L1",1,1
"68","SLC44A2",1,1
"69","SMC4",1,1
"70","PTBP1",1,1
"71","EGR1",1,1
"72","GNAI3",1,1
"73","AHR",1,1
"74","ODR4",1,1
"75","PGRMC1",1,1
"76","FBF1",1,1
"77","NIPA2",1,1
"78","RPGRIP1L",1,1
"79","PLSCR1",1,1
"80","ENPP1",1,1
"81","IFT22",1,1
"82","BBS5",1,1
"83","CD151",1,1
"84","PTPRB",1,1
"85","FAAH2",1,1
"86","KCTD10",1,1
"87","IFT57",1,1
"88","NEK10",1,1
"89","GNG7",1,1
"90","KCNQ1",1,1
"91","HNF4A",1,1
"92","UPP1",1,1
"93","UGCG",1,1
"94","RGS17",1,1
"95","SLC16A14",1,1
"96","FBXO25",1,1
"97","IFT80",1,1
"98","CDKL1",1,1
"99","EFCAB7",1,1
"100","SLC24A2",1,1
"101","GRAMD4",1,1
"102","BBS2",1,1
"103","CNGA1",1,1
"104","ABCC3",1,1
"105","BBS1",1,1
"106","AK5",1,1
"107","UFSP2",1,1
"108","KCND2",1,1
"109","SAXO1",1,1
"110","TMEM67",1,1
"111","NR4A1",1,1
"112","ECE1",1,1
"113","BBS9",1,1
"114","SCNN1G",1,1
"115","RP1",1,1
"116","RBPMS",1,1
"117","PPARD",1,1
"118","PXDN",1,1
"119","SLC17A5",1,1
"120","CYGB",1,1
"121","CEP104",1,1
"122","HEXD",1,1
"123","POR",1,1
"124","ACOT8",1,1
"125","LIPE",1,1
"126","ATP9B",1,1
"127","ARL13B",1,1
"128","CDC34",1,1
"129","GDPGP1",1,1
"130","OTX2",1,1
"131","IFT52",1,1
"132","DHRS1",1,1
"133","DCAKD",1,1
"134","TTC26",1,1
"135","WDR54",1,1
"136","NPY1R",1,1
"137","KCNK18",1,1
"138","ELMOD3",1,1
"139","BBS4",1,1
"140","PPARA",1,1
"141","PAX6",1,1
"142","PTPDC1",1,1
"143","CLUAP1",1,1
"144","KIF19",1,1
"145","SYT7",1,1
"146","KIF28P",1,1
"147","HECA",1,1
"148","CYP3A4",1,1
"149","DEGS1",1,1
"150","STOM",1,1
