Gene_name;interaction_scores.x;Reyfman;Carraro;Habermann;Murthy;Celegans;Trachea;CenGen;Cluster_31;Cluster_37;Motif_RFX2;Motif_RFX3;Motif_MYB;Motif_GLIS3;Motif_JAZF1;Motif_FOXJ1;Motif_SOX5;Motif_TOX;Centrosome;Cilia_expression;Flagella;Cilia_localization;interaction_scores.y;phylogenetic_scores;motif_score;pa_score;single_cell_score;total_score_sums;total_score_weighted
A1BG;0,482676605710271;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.482676606;0;0;0;0;0.482676606;0.243361833
A4GALT;0,56573518418104;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.565735184;0;0;0;0;0.565735184;0.28523933
A1CF;0;NA;NA;NA;NA;NA;NA;0.034;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
A2M;0,332254385681664;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
A2ML1;0,4836906989694;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
A2MP1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
A3GALT2;0,590154461053472;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
A4GNT;0,584262298238309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
A12M1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
A12M2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
