Gene_name;Reyfman;Carraro;Habermann;Murthy;Trachea
ABCA5;0.8251617;0.219;0.497;0.419;0.628
ABCA13;0.818719626;0.474;0.525;0.511;0.649
ADGB;0.883345317;0.453;0.580560074;0.556;0.723
AGBL2;0.833828821;0.452;0.541963098;0.284;0.711
AGR3;0.923007671;0.842;0.709;0.349;0.811
AK7;0.867710167;0.654;0.595227688;0.336;0.721
AK9;0.897150875;0.548;0.566388559;0.367;0.821
AKAP14;0.841542897;0.648;0.609;0.36;0.69
ALDH3B1;0.926204894;0.658;0.689;0.458;0.675
ANKRD66;0.86004917;0.604;0.706993635;0.539;0.593
ANKUB1;0.880132515;0.636;0.702;0.631;0.765
ARHGAP18;0.839652115;0.557;0.42;0.233;0.577
ARHGAP39;0.823045655;0.26;0.381381699;0.254;0.552
ARMC2;0.819813165;0.397;0.457955238;0.332;0.639
ARMC3;0.926993418;0.846;0.706;0.509;0.822
B3GNT7;0.836283378;0.379;0.266;0.418;0.512
B9D1;0.873487536;0.655;0.771;0.315;0.639
BAIAP2L1;0.837736616;0.221;0.460493214;0.447;0.574
BBOF1;0.95763239;0.83;0.70975841;0.453;0.827
BCO2;0.841542897;0.513;0.394474334;0.301;0.558
C1orf87;0.844334097;0.346;0.634;0.518;0.617
C2orf73;0.858802068;0.613;0.582;0.374;0.62
C4orf47;0.866130275;0.544;0.772;0.418;0.624
C6orf118;0.908582893;0.716;0.74789304;0.511;0.805
C7orf57;0.889905042;0.512;0.667820335;0.417;0.593
C9orf24;1;0.859;0.949;0.654;0.873
C10orf95;0.799387809;0.254;0.598259977;0.318;0.545
C11orf16;0.888207067;0.43;0.525;0.419;0.782
C11orf97;0.914695409;0.662;0.731;0.433;0.706
C17orf97;0.884750925;0.634;0.546850985;0.433;0.601
C20orf85;0.996942077;0.912;0.956;0.563;0.884
C20orf96;0.87081975;0.289;0.592723376;0.259;0.7
C21orf58;0.924081182;0.638;0.7380271;0.44;0.781
C22orf15;0.89057876;0.559;0.642;0.401;0.801
CABCOCO1;0.889905042;0.719;0.632872025;0.516;0.632
CAPS;0.998720222;0.747;0.917;0.58;0.76
CAPSL;0.930618109;0.876;0.840252938;0.518;0.819
CASC2;0.836283378;0.376;0.397186354;0.304;0.559
CASZ1;0.848871104;0.261;0.372751928;0.227;0.588
CATSPERD;0.938338741;0.401;0.773;0.532;0.585
CC2D2A;0.897471869;0.812;0.632540117;0.404;0.675
CCDC17;0.955490048;0.892;0.853;0.492;0.93
CCDC30;0.910355499;0.578;0.624547836;0.389;0.793
CCDC40;0.871969039;0.561;0.542998158;0.396;0.744
CCDC57;0.718787542;0.133;0.32455508;0.319;0.509
CCDC60;0.819267416;0.423;0.453475468;0.386;0.528
CCDC65;0.852402204;0.508;0.55;0.365;0.721
CCDC74A;0.91751888;0.771;0.752;0.483;0.684
CCDC74B;0.882991798;0.606;0.597;0.521;0.653
CCDC78;0.969475809;0.876;0.932;0.563;0.885
CCDC88C;0.897150875;0.375;0.52443112;0.361;0.512
CCDC96;0.819813165;0.54;0.454497525;0.387;0.596
CCDC113;0.926993418;0.781;0.807;0.393;0.711
CCDC146;0.977862334;0.732;0.817652738;0.537;0.857
CCDC153;0.910648859;0.812;0.733;0.656;0.77
CCDC170;0.985443349;0.948;0.862;0.493;0.863
CCDC181;0.901893476;0.605;0.484351112;0.382;0.667
CCDC191;0.857122582;0.4;0.574404039;0.504;0.708
CCP110;0.912686102;0.569;0.533;0.249;0.591
CD164L2;0.909471876;0.447;0.728838116;0.514;0.778
CDHR3;0.973919489;0.862;0.823682584;0.666;0.934
CDHR4;0.936138863;0.805;0.699649912;0.601;0.826
CEP83;0.851527374;0.426;0.458379755;0.24;0.599
CEP126;0.967699623;0.688;0.666;0.595;0.835
CEP290;0.8633238;0.27;0.468039528;0.301;0.534
CES4A;0.828792807;0.357;0.394326007;0.329;0.611
CETN2;0.958691929;0.695;0.814;0.472;0.623
CFAP36;0.8251617;0.474;0.498743421;0.213;0.5
CFAP43;0.962031871;0.857;0.893;0.645;0.925
CFAP44;0.899383204;0.622;0.637;0.479;0.749
CFAP45;0.898430653;0.829;0.676;0.48;0.793
CFAP46;0.90976701;0.476;0.533853913;0.453;0.841
CFAP52;0.921109892;0.822;0.683725091;0.554;0.811
CFAP53;0.96016253;0.837;0.749;0.66;0.843
CFAP54;0.891916976;0.458;0.57459464;0.515;0.811
CFAP57;0.851965442;0.447;0.600854392;0.45;0.679
CFAP65;0.879771149;0.566;0.677;0.504;0.767
CFAP69;0.854995787;0.471;0.524572207;0.459;0.73
CFAP70;0.937365092;0.626;0.708;0.633;0.859
CFAP73;0.935645483;0.613;0.767196194;0.568;0.904
CFAP74;0.864934076;0.524;0.497566076;0.546;0.76
CFAP77;0.869661376;0.741;0.709;0.331;0.513
CFAP91;0.908879821;0.573;0.613221004;0.49;0.74
CFAP100;0.915548177;0.414;0.663;0.638;0.801
CFAP126;0.917798257;0.914;0.796590861;0.491;0.578
CFAP157;0.966503423;0.712;0.863631866;0.656;0.891
CFAP206;0.817617864;0.54;0.406283152;0.324;0.553
CFAP221;0.926731048;0.731;0.777;0.596;0.856
CFAP251;0.956565135;0.778;0.718;0.503;0.867
CFAP298;0.892581529;0.579;0.603042287;0.278;0.577
CFAP299;0.817617864;0.273;0.598096982;0.649;0.723
CFAP300;0.883345317;0.729;0.7;0.413;0.677
CHST6;0.833828821;0.542;0.387236362;0.488;0.688
CIBAR2;0.947735139;0.819;0.767;0.52;0.905
CLDN3;0.887865098;0.302;0.757;0.312;0.733
CLHC1;0.798760255;0.377;0.229041481;0.374;0.551
CLIC6;0.944048564;0.367;0.664;0.292;0.512
CLMN;0.894557292;0.638;0.574;0.386;0.708
CLUAP1;0.908285363;0.623;0.65;0.355;0.748
CNTRL;0.862104374;0.444;0.403;0.201;0.587
COL21A1;0.814826664;0.483;0.357432511;0.284;0.555
CPLANE1;0.865732626;0.286;0.469403877;0.326;0.533
CRACDL;0.912106917;0.613;0.531625808;0.289;0.728
CRNDE;0.855850213;0.26;0.687;0.291;0.526
CROCC;0.853704734;0.461;0.506332894;0.336;0.587
CSPP1;0.908582893;0.563;0.603272741;0.364;0.678
CTXN1;0.916958521;0.448;0.62249498;0.483;0.727
CYB561;0.891916976;0.372;0.54;0.213;0.501
DAW1;0.857544262;0.56;0.515;0.466;0.587
DCDC1;0.864934076;0.539;0.449040087;0.616;0.84
DCDC2B;0.84571001;0.393;0.729;0.443;0.569
DENND6B;0.857122582;0.56;0.573724673;0.289;0.681
DLEC1;0.888548239;0.439;0.664;0.546;0.825
DMD;0.833332937;0.37;0.43;0.225;0.605
DMKN;0.916958521;0.545;0.662;0.314;0.554
DNAAF3;0.896829177;0.586;0.707833314;0.451;0.732
DNAAF4;0.887522329;0.576;0.597;0.444;0.575
DNAAF6;0.811405491;0.482;0.664;0.552;0.57
DNAAF11;0.864934076;0.607;0.59938969;0.366;0.747
DNAH2;0.874990458;0.452;0.626;0.36;0.789
DNAH3;0.8633238;0.524;0.717;0.433;0.911
DNAH5;0.968491698;0.772;0.859;0.549;0.943
DNAH6;0.887522329;0.583;0.784;0.574;0.866
DNAH7;0.926731048;0.734;0.778;0.652;0.889
DNAH9;0.92354541;0.749;0.843;0.537;0.903
DNAH10;0.900014815;0.529;0.767081482;0.477;0.817
DNAH11;0.931383299;0.539;0.685290449;0.615;0.868
DNAH12;0.974678732;0.814;0.82;0.715;0.968
