Gene_name,Ciliary Gene,Ciliary TF interactions
A1CF,Unknown,YES
ABCA13,Unknown,YES
ABCC1,Unknown,YES
ABCC5,Unknown,YES
ABCF2,Unknown,YES
ABCG2,Unknown,YES
ABHD17B,Unknown,YES
ABLIM1,YES,YES
ACADSB,Unknown,YES
ACSL4,Unknown,YES
ACSM3,Unknown,YES
ACTN2,Unknown,YES
ACTR3,Unknown,YES
ACVR1,Unknown,YES
ADAM9,Unknown,YES
ADAMTS12,Unknown,YES
ADD3,Unknown,YES
ADGB,Unknown,YES
ADGRA3,Unknown,YES
ADGRF1,Unknown,YES
ADGRF5,Unknown,YES
ADGRL2,Unknown,YES
ADGRV1,YES,YES
ADH5,Unknown,YES
ADK,Unknown,YES
AFG1L,Unknown,YES
AGAP6,Unknown,YES
AGBL2,Unknown,YES
AGBL3,Unknown,YES
AGBL4,Unknown,YES
AGFG2,Unknown,YES
AHI1,YES,YES
AHSA1,Unknown,YES
AK7,YES,YES
AK8,YES,YES
AK9,Unknown,YES
AKAP6,Unknown,YES
AKAP9,Unknown,YES
AKAP13,Unknown,YES
ALDH1A1,Unknown,YES
ALMS1,YES,YES
AMFR,Unknown,YES
AMY2B,Unknown,YES
ANGPTL5,Unknown,YES
ANK3,Unknown,YES
ANKAR,Unknown,YES
ANKEF1,Unknown,YES
ANKFN1,Unknown,YES
ANKMY1,Unknown,YES
ANKRA2,Unknown,YES
ANKRD12,Unknown,YES
ANKRD42,Unknown,YES
ANKRD44,Unknown,YES
ANKRD45,Unknown,YES
ANKRD66,Unknown,YES
ANKUB1,Unknown,YES
ANO3,Unknown,YES
ANO6,Unknown,YES
ANXA2,Unknown,YES
AOPEP,Unknown,YES
AP2A2,Unknown,YES
APBB2,Unknown,YES
APOB,Unknown,YES
APOLD1,Unknown,YES
APOO,Unknown,YES
APP,Unknown,YES
ARAP1,Unknown,YES
ARAP2,Unknown,YES
ARF4,YES,YES
ARFGEF2,Unknown,YES
ARFGEF3,Unknown,YES
ARHGAP10,Unknown,YES
ARHGAP18,Unknown,YES
ARHGAP24,Unknown,YES
ARHGAP26,Unknown,YES
ARHGAP29,Unknown,YES
ARHGAP31,Unknown,YES
ARHGAP32,Unknown,YES
ARHGAP39,Unknown,YES
ARHGAP42,Unknown,YES
ARHGAP44,Unknown,YES
ARHGEF3,Unknown,YES
ARHGEF7,Unknown,YES
ARHGEF28,Unknown,YES
ARHGEF33,Unknown,YES
ARHGEF38,Unknown,YES
ARID5B,Unknown,YES
ARL2BP,YES,YES
ARL6,YES,YES
ARL6IP1,Unknown,YES
ARL9,Unknown,YES
ARL13B,YES,YES
ARL15,Unknown,YES
ARMC2,YES,YES
ARMC3,Unknown,YES
ARMC9,YES,YES
ARMH1,Unknown,YES
ARNT,Unknown,YES
ARPC2,Unknown,YES
ARRDC3,Unknown,YES
ASAH1,Unknown,YES
ASAP2,Unknown,YES
ASAP3,Unknown,YES
ASB5,Unknown,YES
ASB14,Unknown,YES
ASIC3,Unknown,YES
ASPG,Unknown,YES
ASPH,Unknown,YES
ATAD2B,Unknown,YES
ATF7IP2,Unknown,YES
ATP2A2,Unknown,YES
ATP5F1B,Unknown,YES
ATP6V1B2,Unknown,YES
ATP10A,Unknown,YES
ATP10D,Unknown,YES
ATP11A,Unknown,YES
ATR,Unknown,YES
ATXN1,Unknown,YES
ATXN2,Unknown,YES
ATXN7L1,Unknown,YES
AUTS2,Unknown,YES
AVL9,Unknown,YES
AVPR1A,Unknown,YES
AXDND1,Unknown,YES
AZI2,Unknown,YES
B3GNT4,Unknown,YES
B4GALNT3,Unknown,YES
B4GALT5,Unknown,YES
BACE2,Unknown,YES
BAIAP2L1,Unknown,YES
BARHL2,Unknown,YES
BASP1,Unknown,YES
BAZ2B,Unknown,YES
BBOF1,YES,YES
BBS4,YES,YES
BBS7,YES,YES
BBS9,YES,YES
BBX,Unknown,YES
BCAS3,Unknown,YES
BCKDHB,Unknown,YES
BCR,Unknown,YES
BEND7,Unknown,YES
BFSP1,Unknown,YES
BICC1,Unknown,YES
BIRC6,Unknown,YES
BLVRA,Unknown,YES
BMPER,Unknown,YES
BRCC3,Unknown,YES
BRD2,Unknown,YES
BTBD3,Unknown,YES
BTBD9,Unknown,YES
BTBD16,Unknown,YES
BTRC,Unknown,YES
C1orf87,Unknown,YES
C1orf116,Unknown,YES
