Gene_name,Ciliary,Cao et al 2017
CLSTN1,Unknown,YES
DYNC2H1,YES,YES
NPDC1,Unknown,YES
LOXHD1,Unknown,YES
PTPRN,Unknown,YES
PCSK2,Unknown,YES
APLP1,Unknown,YES
CPE,Unknown,YES
PAM,Unknown,YES
NPHP4,YES,YES
NRSN1,Unknown,YES
AKT1,YES,YES
ALK,Unknown,YES
WDR19,YES,YES
CD9,Unknown,YES
ATF1,Unknown,YES
RAB11FIP3,YES,YES
TOGARAM1,YES,YES
CAMK2D,Unknown,YES
PPEF1,Unknown,YES
ANK2,Unknown,YES
CCNI,Unknown,YES
IGF1R,YES,YES
SCG5,Unknown,YES
CAMTA2,Unknown,YES
FOXO1,Unknown,YES
TRERF1,Unknown,YES
NCOR1,Unknown,YES
GDE1,Unknown,YES
KIF17,YES,YES
SYT4,Unknown,YES
IFT140,YES,YES
KDM6A,Unknown,YES
GDF11,Unknown,YES
GPI,Unknown,YES
CALCR,Unknown,YES
KCNN1,Unknown,YES
PDE2A,Unknown,YES
PRKD1,Unknown,YES
GUCY2D,Unknown,YES
YWHAB,Unknown,YES
PTCH1,YES,YES
GNAO1,Unknown,YES
DACH2,Unknown,YES
JUN,Unknown,YES
EGFLAM,Unknown,YES
PELI3,Unknown,YES
PLCE1,Unknown,YES
HSPA1B,Unknown,YES
SLC10A3,Unknown,YES
PLCB4,Unknown,YES
PRKCE,Unknown,YES
TRPV5,Unknown,YES
RABGEF1,Unknown,YES
DYRK3,Unknown,YES
ARHGAP6,Unknown,YES
GNAZ,Unknown,YES
WDR35,YES,YES
FOXP1,Unknown,YES
HIPK1,Unknown,YES
LITAF,Unknown,YES
ANXA10,Unknown,YES
TUB,YES,YES
PTP4A2,Unknown,YES
ANKRD18A,Unknown,YES
AKAP1,Unknown,YES
TTC30B,YES,YES
GUCY1B1,Unknown,YES
IFT172,YES,YES
AMPD2,Unknown,YES
ASH1L,Unknown,YES
MACO1,Unknown,YES
CYP2U1,Unknown,YES
KCNH5,Unknown,YES
EPAS1,Unknown,YES
L1CAM,Unknown,YES
IFT122,YES,YES
SIPA1,Unknown,YES
CALM1,Unknown,YES
UNC13A,Unknown,YES
TTLL11,Unknown,YES
KCNK12,Unknown,YES
PLSCR2,Unknown,YES
CADPS,Unknown,YES
EVA1C,Unknown,YES
SCYL2,Unknown,YES
KCNA1,Unknown,YES
CAMK1,Unknown,YES
MAPK1,YES,YES
NPC1,Unknown,YES
ATF2,Unknown,YES
PTCHD1,Unknown,YES
DUSP16,Unknown,YES
GNB1,YES,YES
ARPP21,Unknown,YES
PPP3CB,Unknown,YES
MYRF,Unknown,YES
FHAD1,Unknown,YES
NRXN1,Unknown,YES
IFT81,YES,YES
IFT88,YES,YES
BRSK1,Unknown,YES
CHD3,Unknown,YES
BBS7,YES,YES
KIF1A,Unknown,YES
DGKQ,Unknown,YES
RXRA,Unknown,YES
SLC13A2,Unknown,YES
SPA17,YES,YES
IFT74,YES,YES
EGLN1,Unknown,YES
CROCC,YES,YES
ATP2C1,Unknown,YES
IFT46,YES,YES
ARPP19,Unknown,YES
FOXR1,Unknown,YES
SNAP23,Unknown,YES
MAK,YES,YES
BAIAP3,Unknown,YES
GABARAP,Unknown,YES
ARRDC1,Unknown,YES
GUK1,Unknown,YES
MAP3K12,Unknown,YES
TRAF3IP1,YES,YES
IST1,Unknown,YES
CNGB1,YES,YES
ZMYND11,Unknown,YES
TTC8,YES,YES
H2AX,Unknown,YES
FAIM2,Unknown,YES
ADORA2B,Unknown,YES
SLC35F6,Unknown,YES
PDCD6IP,Unknown,YES
CAPN1,Unknown,YES
PTPRD,Unknown,YES
STAT5A,Unknown,YES
CHD6,Unknown,YES
ARMC9,YES,YES
TUBB4B,YES,YES
HIVEP1,Unknown,YES
PDE1A,Unknown,YES
CC2D2A,YES,YES
SEC14L1,Unknown,YES
NPY6R,Unknown,YES
PITPNM2,Unknown,YES
POU4F2,Unknown,YES
ABCC4,YES,YES
SLC44A2,Unknown,YES
GUCY2C,Unknown,YES
SMC4,Unknown,YES
PTBP1,Unknown,YES
EGR1,Unknown,YES
MAP3K15,Unknown,YES
OAZ2,Unknown,YES
GNAI3,Unknown,YES
RNF150,Unknown,YES
AHR,Unknown,YES
ODR4,Unknown,YES
PDE8A,Unknown,YES
PGRMC1,Unknown,YES
FBF1,YES,YES
CAMKK1,Unknown,YES
NIPA2,Unknown,YES
RPGRIP1L,YES,YES
MAP2K6,Unknown,YES
PLSCR1,Unknown,YES
KCNF1,YES,YES
KCNH2,Unknown,YES
ENPP1,Unknown,YES
IFT22,YES,YES
BBS5,YES,YES
CDK16,Unknown,YES
SLC22A10,Unknown,YES
CD151,Unknown,YES
EHD1,YES,YES
FLCN,YES,YES
RPS6KA1,Unknown,YES
PTPRB,Unknown,YES
FAAH2,Unknown,YES
KCNT1,Unknown,YES
DGKI,Unknown,YES
NPY5R,YES,YES
KCTD10,YES,YES
IFT57,YES,YES
USP6NL,Unknown,YES
NEK10,YES,YES
GNG7,Unknown,YES
KCNQ1,YES,YES
CELSR2,YES,YES
PRKCA,Unknown,YES
AVP,Unknown,YES
HECW1,Unknown,YES
HNF4A,Unknown,YES
UPP1,Unknown,YES
TUBAL3,Unknown,YES
UGCG,Unknown,YES
INPP5E,YES,YES
RGS17,Unknown,YES
SLC16A14,Unknown,YES
TPD52,Unknown,YES
FBXO25,Unknown,YES
IFT80,YES,YES
CRTC1,Unknown,YES
CDKL1,Unknown,YES
HDAC4,Unknown,YES
EFCAB7,YES,YES
STAC,Unknown,YES
SLC24A2,Unknown,YES
GRAMD4,Unknown,YES
DOC2A,Unknown,YES
MFSD4B,Unknown,YES
BBS2,YES,YES
ZMIZ2,Unknown,YES
ZC2HC1A,Unknown,YES
CNGA1,YES,YES
CACNA1A,Unknown,YES
GSKIP,Unknown,YES
GREM1,Unknown,YES
LDHAL6A,Unknown,YES
ABCC3,Unknown,YES
SYT1,Unknown,YES
BBS1,YES,YES
CLCN2,Unknown,YES
ERG,Unknown,YES
AK5,Unknown,YES
UFSP2,Unknown,YES
ARHGEF11,Unknown,YES
SQSTM1,Unknown,YES
SMAD2,YES,YES
PLEKHG5,Unknown,YES
UBL3,Unknown,YES
NELL1,Unknown,YES
KCND2,Unknown,YES
SAXO1,YES,YES
MAPK11,Unknown,YES
TMEM67,YES,YES
NR4A1,Unknown,YES
ECE1,Unknown,YES
GPR158,Unknown,YES
BBS9,YES,YES
SIK2,Unknown,YES
PPHLN1,Unknown,YES
APBA1,Unknown,YES
C1GALT1C1,Unknown,YES
RGS9,Unknown,YES
FNDC3A,Unknown,YES
GNA15,Unknown,YES
SCNN1G,Unknown,YES
RP1,YES,YES
RBPMS,Unknown,YES
ARRB2,Unknown,YES
GNA12,Unknown,YES
STK33,Unknown,YES
PPARD,Unknown,YES
NEK9,Unknown,YES
RNF19B,Unknown,YES
NXNL2,Unknown,YES
ZNF740,Unknown,YES
CLIP1,Unknown,YES
ABCA4,Unknown,YES
PXDN,Unknown,YES
INS,Unknown,YES
SLC17A5,Unknown,YES
GLI4,Unknown,YES
GPSM1,YES,YES
NWD1,Unknown,YES
CYGB,Unknown,YES
CEP104,YES,YES
UNC119,Unknown,YES
RASGRP3,Unknown,YES
EFNB1,Unknown,YES
HEXD,Unknown,YES
RIMS1,Unknown,YES
POR,Unknown,YES
MAPK8IP1,Unknown,YES
GRB10,Unknown,YES
ACOT8,Unknown,YES
PAX2,Unknown,YES
LIPE,Unknown,YES
ATP9B,Unknown,YES
CPNE5,Unknown,YES
STX1A,Unknown,YES
ARL13B,YES,YES
CDC34,Unknown,YES
MARCHF1,Unknown,YES
PPP1R37,Unknown,YES
KIF3B,YES,YES
GDPGP1,Unknown,YES
OTX2,Unknown,YES
IFT52,YES,YES
DHRS1,Unknown,YES
DCAKD,Unknown,YES
ACBD3,Unknown,YES
SMAD4,Unknown,YES
GRM4,Unknown,YES
TTC26,YES,YES
CHAC1,Unknown,YES
WDR54,Unknown,YES
RAB14,Unknown,YES
MAP2K1,Unknown,YES
NPY1R,Unknown,YES
KCNK18,Unknown,YES
MADD,Unknown,YES
KIFAP3,Unknown,YES
ATP2B1,Unknown,YES
CACNA1I,Unknown,YES
FBXO11,Unknown,YES
SYT10,Unknown,YES
AGTR1,Unknown,YES
ELMOD3,Unknown,YES
UGT2A3,Unknown,YES
BBS4,YES,YES
PPARA,YES,YES
PAX6,Unknown,YES
PPP3R1,Unknown,YES
GGA2,Unknown,YES
PTPDC1,YES,YES
CLUAP1,YES,YES
ATP8B2,Unknown,YES
TREH,Unknown,YES
CCDC154,Unknown,YES
IGSF9,Unknown,YES
KIF19,YES,YES
SYT7,Unknown,YES
SLCO4C1,Unknown,YES
KIF28P,Unknown,YES
PRLHR,Unknown,YES
HECA,Unknown,YES
HTR1A,Unknown,YES
DGKB,Unknown,YES
