"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene_name"
"ENSG00000206073",0,2.55295621319622,0.78,0.031,0,"Basal Cells","SERPINB4"
"ENSG00000196754",0,2.52034306610659,0.983,0.106,0,"Basal Cells","S100A2"
"ENSG00000106278",0,2.42983516968992,0.775,0.048,0,"Basal Cells","PTPRZ1"
"ENSG00000057149",0,2.41001425874049,0.843,0.068,0,"Basal Cells","SERPINB3"
"ENSG00000171346",0,2.38128433321977,0.937,0.061,0,"Basal Cells","KRT15"
"ENSG00000186081",0,2.36523677418888,0.979,0.032,0,"Basal Cells","KRT5"
"ENSG00000197641",0,2.33475340065674,0.81,0.032,0,"Basal Cells","SERPINB13"
"ENSG00000108602",0,2.26293712236111,0.938,0.083,0,"Basal Cells","ALDH3A1"
"ENSG00000073282",0,2.25459106750244,0.634,0.01,0,"Basal Cells","TP63"
"ENSG00000128422",0,2.24950174223283,0.96,0.145,0,"Basal Cells","KRT17"
"ENSG00000230937",0,2.24452747488495,0.959,0.08,0,"Basal Cells","MIR205HG"
"ENSG00000178934",0,2.23980334140037,0.771,0.019,0,"Basal Cells","LGALS7B"
"ENSG00000248485",0,2.11438023109326,0.473,0.01,0,"Basal Cells","PCP4L1"
"ENSG00000166670",0,2.09518656270064,0.595,0.031,0,"Basal Cells","MMP10"
"ENSG00000196344",0,1.99197806779349,0.681,0.05,0,"Basal Cells","ADH7"
"ENSG00000165272",0,1.97748432189808,0.977,0.171,0,"Basal Cells","AQP3"
"ENSG00000068078",0,1.97015336833346,0.673,0.041,0,"Basal Cells","FGFR3"
"ENSG00000176153",0,1.93204331042987,0.816,0.068,0,"Basal Cells","GPX2"
"ENSG00000137440",0,1.85749114733803,0.771,0.073,0,"Basal Cells","FGFBP1"
"ENSG00000205420",0,1.84587377489807,0.802,0.038,0,"Basal Cells","KRT6A"
"ENSG00000186847",0,1.83887267125128,0.724,0.028,0,"Basal Cells","KRT14"
"ENSG00000137975",0,1.83542708666611,0.551,0.029,0,"Basal Cells","CLCA2"
"ENSG00000164171",0,1.8094123162692,0.813,0.086,0,"Basal Cells","ITGA2"
"ENSG00000171345",0,1.77933205670692,0.982,0.154,0,"Basal Cells","KRT19"
"ENSG00000136542",0,1.77703836062116,0.569,0.046,0,"Basal Cells","GALNT5"
"ENSG00000206075",0,1.77196941256972,0.71,0.035,0,"Basal Cells","SERPINB5"
"ENSG00000137648",0,1.73911813521346,0.741,0.097,0,"Basal Cells","TMPRSS4"
"ENSG00000161905",0,1.73575015417798,0.483,0.065,0,"Basal Cells","ALOX15"
"ENSG00000146054",0,1.73527602165313,0.505,0.048,0,"Basal Cells","TRIM7"
"ENSG00000167644",0,1.72934714074281,0.852,0.08,0,"Basal Cells","C19orf33"
"ENSG00000086570",0,1.72712517601888,0.384,0.009,0,"Basal Cells","FAT2"
"ENSG00000134762",0,1.7115459738519,0.663,0.014,0,"Basal Cells","DSC3"
"ENSG00000041982",0,1.70897524467474,0.792,0.088,0,"Basal Cells","TNC"
"ENSG00000175793",0,1.69123820163528,0.933,0.11,0,"Basal Cells","SFN"
"ENSG00000163347",0,1.66759009923834,0.77,0.057,0,"Basal Cells","CLDN1"
"ENSG00000131746",0,1.66400929791382,0.486,0.018,0,"Basal Cells","TNS4"
"ENSG00000189334",0,1.65475876381377,0.893,0.07,0,"Basal Cells","S100A14"
"ENSG00000019186",0,1.65185730850538,0.285,0.005,0,"Basal Cells","CYP24A1"
"ENSG00000189280",0,1.63475603713618,0.367,0.024,0,"Basal Cells","GJB5"
"ENSG00000129194",0,1.62649871981139,0.503,0.033,0,"Basal Cells","SOX15"
"ENSG00000132470",0,1.62616262884424,0.723,0.1,0,"Basal Cells","ITGB4"
"ENSG00000114270",0,1.62114869346784,0.459,0.035,0,"Basal Cells","COL7A1"
"ENSG00000174226",0,1.6204539824148,0.289,0.006,0,"Basal Cells","SNX31"
"ENSG00000188910",0,1.6195320432483,0.393,0.022,0,"Basal Cells","GJB3"
"ENSG00000163331",0,1.61327491045924,0.538,0.007,0,"Basal Cells","DAPL1"
"ENSG00000102554",0,1.60568175019624,0.913,0.111,0,"Basal Cells","KLF5"
"ENSG00000181449",0,1.60386505863511,0.625,0.098,0,"Basal Cells","SOX2"
"ENSG00000062038",0,1.59920683284117,0.464,0.036,0,"Basal Cells","CDH3"
"ENSG00000169435",0,1.59482906620892,0.512,0.049,0,"Basal Cells","RASSF6"
"ENSG00000161798",0,1.58882604615472,0.815,0.101,0,"Basal Cells","AQP5"
"ENSG00000103044",0,1.57421890966907,0.314,0.012,0,"Basal Cells","HAS3"
"ENSG00000167600",0,1.57139587423363,0.418,0.058,0,"Basal Cells","CYP2S1"
"ENSG00000171462",0,1.56434612584341,0.287,0.005,0,"Basal Cells","DLK2"
"ENSG00000184564",0,1.55935020015329,0.39,0.035,0,"Basal Cells","SLITRK6"
"ENSG00000137699",0,1.55095482772287,0.783,0.089,0,"Basal Cells","TRIM29"
"ENSG00000230202",0,1.54450601775352,0.846,0.108,0,"Basal Cells","RPL29P4"
"ENSG00000265190",0,1.54375770268378,0.327,0.004,0,"Basal Cells","ANXA8"
"ENSG00000196878",0,1.52413979653226,0.646,0.055,0,"Basal Cells","LAMB3"
"ENSG00000151632",0,1.50531056276439,0.749,0.154,0,"Basal Cells","AKR1C2"
"ENSG00000163032",0,1.50530969968289,0.334,0.004,0,"Basal Cells","VSNL1"
"ENSG00000133636",0,1.49782980471486,0.294,0.017,0,"Basal Cells","NTS"
"ENSG00000178363",0,1.46824481289014,0.471,0.006,0,"Basal Cells","CALML3"
"ENSG00000101311",0,1.46662988698742,0.402,0.02,0,"Basal Cells","FERMT1"
"ENSG00000069011",0,1.4620905312074,0.704,0.06,0,"Basal Cells","PITX1"
"ENSG00000187244",0,1.45260132786357,0.701,0.078,0,"Basal Cells","BCAM"
"ENSG00000065618",0,1.45069237377089,0.459,0.009,0,"Basal Cells","COL17A1"
"ENSG00000115884",0,1.44859565769123,0.765,0.092,0,"Basal Cells","SDC1"
"ENSG00000227036",0,1.43997025172919,0.565,0.089,0,"Basal Cells","LINC00511"
"ENSG00000134121",0,1.43982916385192,0.659,0.128,0,"Basal Cells","CHL1"
"ENSG00000123892",0,1.4329726346945,0.383,0.02,0,"Basal Cells","RAB38"
"ENSG00000165474",0,1.4324683368009,0.523,0.027,0,"Basal Cells","GJB2"
"ENSG00000112378",0,1.43062700344074,0.963,0.232,0,"Basal Cells","PERP"
"ENSG00000063660",0,1.42878728239954,0.557,0.067,0,"Basal Cells","GPC1"
"ENSG00000096696",0,1.42361614438873,0.903,0.133,0,"Basal Cells","DSP"
"ENSG00000103888",0,1.41218527749072,0.319,0.022,0,"Basal Cells","CEMIP"
"ENSG00000198807",0,1.40902652525536,0.46,0.07,0,"Basal Cells","PAX9"
"ENSG00000110400",0,1.38844263627425,0.511,0.061,0,"Basal Cells","NECTIN1"
"ENSG00000134757",0,1.38452592429642,0.568,0.011,0,"Basal Cells","DSG3"
"ENSG00000143061",0,1.36959374999376,0.363,0.022,0,"Basal Cells","IGSF3"
"ENSG00000188153",0,1.36746739101376,0.341,0.027,0,"Basal Cells","COL4A5"
"ENSG00000185668",0,1.36286038170181,0.299,0.012,0,"Basal Cells","POU3F1"
"ENSG00000138271",0,1.34854987598034,0.286,0.013,0,"Basal Cells","GPR87"
"ENSG00000129514",0,1.34719258062588,0.536,0.084,0,"Basal Cells","FOXA1"
"ENSG00000089356",0,1.34266347140558,0.756,0.098,0,"Basal Cells","FXYD3"
"ENSG00000184292",0,1.33584849188385,0.954,0.254,0,"Basal Cells","TACSTD2"
"ENSG00000145113",0,1.32609657038511,0.696,0.126,0,"Basal Cells","MUC4"
"ENSG00000050327",0,1.32025355036647,0.418,0.057,0,"Basal Cells","ARHGEF5"
"ENSG00000029993",0,1.31858867996793,0.626,0.117,0,"Basal Cells","HMGB3"
"ENSG00000157992",0,1.31498916066701,0.491,0.056,0,"Basal Cells","KRTCAP3"
"ENSG00000173801",0,1.3137989162102,0.793,0.135,0,"Basal Cells","JUP"
"ENSG00000149573",0,1.30801048990495,0.717,0.107,0,"Basal Cells","MPZL2"
"ENSG00000163362",0,1.30415924413754,0.406,0.057,0,"Basal Cells","INAVA"
"ENSG00000159166",0,1.27303405068524,0.559,0.027,0,"Basal Cells","LAD1"
"ENSG00000111057",0,1.27029887010109,0.917,0.161,0,"Basal Cells","KRT18"
"ENSG00000146648",0,1.26829165041255,0.804,0.175,0,"Basal Cells","EGFR"
"ENSG00000229807",0,1.26766132361893,0.852,0.073,0,"Basal Cells","XIST"
"ENSG00000167656",0,1.2666413931296,0.426,0.01,0,"Basal Cells","LY6D"
"ENSG00000153802",0,1.26300835637485,0.36,0.014,0,"Basal Cells","TMPRSS11D"
"ENSG00000081277",0,1.25626300803714,0.507,0.011,0,"Basal Cells","PKP1"
"ENSG00000005884",0,1.25592832245245,0.516,0.081,0,"Basal Cells","ITGA3"
"ENSG00000133477",0,1.25409613596781,0.345,0.043,0,"Basal Cells","FAM83F"
"ENSG00000115457",0,1.25249183113279,0.841,0.169,0,"Basal Cells","IGFBP2"
"ENSG00000135378",0,1.24910686145597,0.613,0.102,0,"Basal Cells","PRRG4"
"ENSG00000179869",0,1.2489290029786,0.593,0.104,0,"Basal Cells","ABCA13"
"ENSG00000171401",0,1.24792549345381,0.587,0.024,0,"Basal Cells","KRT13"
"ENSG00000162552",0,1.24176883326947,0.292,0.018,0,"Basal Cells","WNT4"
"ENSG00000132698",0,1.22850037310549,0.603,0.07,0,"Basal Cells","RAB25"
"ENSG00000070526",0,1.22367070911775,0.468,0.086,0,"Basal Cells","ST6GALNAC1"
"ENSG00000233913",0,1.21672704248771,0.848,0.124,0,"Basal Cells","RPL10P9"
"ENSG00000134504",0,1.21067934148333,0.397,0.065,0,"Basal Cells","KCTD1"
"ENSG00000184363",0,1.20862019304884,0.473,0.051,0,"Basal Cells","PKP3"
"ENSG00000110092",0,1.20741868013697,0.714,0.126,0,"Basal Cells","CCND1"
"ENSG00000117525",0,1.20473892192887,0.842,0.234,0,"Basal Cells","F3"
"ENSG00000268104",0,1.20400215150278,0.397,0.063,0,"Basal Cells","SLC6A14"
"ENSG00000091409",0,1.20220792452103,0.752,0.133,0,"Basal Cells","ITGA6"
"ENSG00000180921",0,1.19619735554019,0.364,0.045,0,"Basal Cells","FAM83H"
"ENSG00000196220",0,1.19457551732588,0.524,0.107,0,"Basal Cells","SRGAP3"
"ENSG00000164070",0,1.19074590502758,0.457,0.075,0,"Basal Cells","HSPA4L"
"ENSG00000122378",0,1.18829955057573,0.774,0.193,0,"Basal Cells","PRXL2A"
"ENSG00000101144",0,1.18767857796034,0.34,0.036,0,"Basal Cells","BMP7"
"ENSG00000154080",0,1.18722505751997,0.494,0.104,0,"Basal Cells","CHST9"
"ENSG00000066468",0,1.17700725420968,0.376,0.05,0,"Basal Cells","FGFR2"
"ENSG00000046604",0,1.17530288432883,0.54,0.066,0,"Basal Cells","DSG2"
"ENSG00000141934",0,1.17119214670741,0.619,0.115,0,"Basal Cells","PLPP2"
"ENSG00000117595",0,1.16764668758981,0.524,0.075,0,"Basal Cells","IRF6"
"ENSG00000115641",0,1.16497478054016,0.57,0.088,0,"Basal Cells","FHL2"
"ENSG00000185567",0,1.16492822092783,0.572,0.107,0,"Basal Cells","AHNAK2"
"ENSG00000204580",0,1.16430639469016,0.56,0.104,0,"Basal Cells","DDR1"
"ENSG00000139116",0,1.15143383648015,0.667,0.142,0,"Basal Cells","KIF21A"
"ENSG00000261150",0,1.14738566900868,0.341,0.044,0,"Basal Cells","EPPK1"
"ENSG00000111319",0,1.1441217263076,0.627,0.116,0,"Basal Cells","SCNN1A"
"ENSG00000170421",0,1.13876103638803,0.898,0.176,0,"Basal Cells","KRT8"
"ENSG00000173156",0,1.1216445362199,0.422,0.075,0,"Basal Cells","RHOD"
"ENSG00000105976",0,1.11715528787058,0.478,0.074,0,"Basal Cells","MET"
"ENSG00000102780",0,1.11553959382297,0.675,0.178,0,"Basal Cells","DGKH"
"ENSG00000134709",0,1.11311037135164,0.479,0.07,0,"Basal Cells","HOOK1"
"ENSG00000010278",0,1.11114271393201,0.97,0.474,0,"Basal Cells","CD9"
"ENSG00000137203",0,1.10568376731931,0.368,0.049,0,"Basal Cells","TFAP2A"
"ENSG00000065621",0,1.10389788005153,0.351,0.033,0,"Basal Cells","GSTO2"
