p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	134.065280248785	0.992	0.343	0	AT1	EMP2
0	124.788492020989	0.981	0.065	0	AT1	AGER
0	65.0845598148892	0.776	0.012	0	AT1	RTKN2
0	25.3717798906112	0.558	0.025	0	AT1	GGTLC1
0	19.0276332605584	0.751	0.035	0	AT1	LAMA3
0	18.865340849705	0.916	0.226	0	AT1	TSPAN13
0	17.7628032891332	0.624	0.055	0	AT1	GGT1
0	17.4428042102048	0.628	0.106	0	AT1	ANOS1
0	15.9551747099023	0.593	0.015	0	AT1	NCKAP5
0	13.9689050581131	0.484	0.023	0	AT1	NTM
0	13.1243615480017	0.534	0.017	0	AT1	MS4A15
0	12.7208242166327	0.777	0.164	0	AT1	MYO1B
0	11.6629169342771	0.807	0.062	0	AT1	ANKRD29
0	11.3483004892732	0.994	0.217	0	AT1	CAV1
0	11.283744698801	0.66	0.153	0	AT1	PCYOX1
0	11.0574811131741	0.375	0.021	0	AT1	KHDRBS2
0	10.8279786936507	0.786	0.026	0	AT1	SCEL
0	10.7632039497429	0.678	0.176	0	AT1	FAM105A
0	8.61964523919163	0.818	0.101	0	AT1	AQP4
0	8.38461663033969	0.418	0.001	0	AT1	ITLN2
0	7.15057640660278	0.671	0.086	0	AT1	PLLP
0	6.72170561139125	0.599	0.119	0	AT1	DENND3
0	5.35796495029671	0.655	0.043	0	AT1	ARHGEF26
0	5.3254099741104	0.495	0.021	0	AT1	SLC1A1
0	5.30569247057101	0.87	0.112	0	AT1	SUSD2
0	4.42560464062606	0.364	0.033	0	AT1	GALNT5
0	4.40144684393928	0.604	0.047	0	AT1	DAPK2
0	4.21511592402243	0.508	0.06	0	AT1	ATP13A4
0	3.90496277850027	0.678	0.108	0	AT1	WFS1
0	3.82822795243432	0.507	0.087	0	AT1	C1orf198
0	3.74553842138405	0.431	0.02	0	AT1	MAP2
0	3.64882947320864	0.569	0.07	0	AT1	EPB41L5
0	3.25562152009392	0.757	0.059	0	AT1	SPOCK2
0	3.15205824865516	0.481	0.019	0	AT1	GPM6A
0	2.71096031972404	0.257	0.008	0	AT1	LRRN4
0	2.42289452703675	0.973	0.188	0	AT1	GPRC5A
0	2.37420677069745	0.602	0.02	0	AT1	COL4A3
0	2.20001118464964	0.646	0.141	0	AT1	EPS8L2
0	2.14583507539741	0.394	0.027	0	AT1	FAM189A2
0	2.13601537904461	0.608	0.116	0	AT1	PRKCZ
0	1.92807525642496	0.389	0.038	0	AT1	RANBP17
0	1.75478744003879	0.329	0.007	0	AT1	PKDCC
0	1.66078403026111	0.719	0.109	0	AT1	CADM1
0	1.63333377671187	0.256	0.006	0	AT1	MATN3
0	1.57445484931801	0.35	0.018	0	AT1	ROR1
0	1.51478019059169	0.92	0.181	0	AT1	CAV2
0	1.43274723765423	0.737	0.049	0	AT1	SEMA3B
0	1.42841620490233	0.344	0.01	0	AT1	SNX22
0	1.41947430835988	0.292	0.005	0	AT1	ST6GALNAC5
0	0.917365617888905	0.294	0.019	0	AT1	WASF3
0	0.855714218508621	0.414	0.06	0	AT1	EVA1A
4.41296288150026e-302	9.72425851354858	0.524	0.109	1.4869037132927e-297	AT1	NEBL
5.26453205177983e-296	2.49742884782801	0.507	0.106	1.7738314295267e-291	AT1	CFL2
8.58723158948235e-291	0.347122571325815	0.339	0.049	2.89338181176018e-286	AT1	ACADL
3.1840245165901e-284	1.20486649517365	0.333	0.049	1.07282522061987e-279	AT1	IL17RE
2.17332856369797e-269	0.758869774047078	0.257	0.031	7.32281326252395e-265	AT1	PTPN21
2.52116397257156e-269	7.28032537154547	0.498	0.11	8.4948098891826e-265	AT1	WWC2
2.88595420581563e-260	1.20398869566786	0.333	0.053	9.72393410107518e-256	AT1	ALS2CL
1.62655558795605e-255	1.46963745142595	0.345	0.057	5.4805163980591e-251	AT1	PDGFA
1.47020171530833e-251	6.91971216082222	0.401	0.072	4.9536976595599e-247	AT1	CACNA2D2
2.77925721986149e-246	2.48972606826821	0.617	0.167	9.36442927660131e-242	AT1	SCNN1A
7.76393387704665e-241	0.562350803690445	0.41	0.081	2.6159798805321e-236	AT1	SGCE
9.97436983318014e-239	4.08177235137482	0.473	0.106	3.36076417159172e-234	AT1	CGN
6.01227096628827e-238	1.81989809961128	0.46	0.102	2.02577457938117e-233	AT1	FAM174B
3.75424116873477e-234	3.64366848366514	0.502	0.125	1.26495401939349e-229	AT1	GOLGA8B
6.3179289106119e-234	0.823389642821507	0.388	0.074	2.12876296714157e-229	AT1	TTLL7
1.51478506163023e-230	0.759308167145732	0.252	0.034	5.1039167866569e-226	AT1	ESYT3
6.01509222683521e-229	5.30855195216705	0.643	0.209	2.02672517490986e-224	AT1	PDLIM2
6.08807130296906e-228	2.24529125877583	0.411	0.085	2.05131474482239e-223	AT1	MAGI3
2.337902341994e-211	2.171634999565	0.41	0.092	7.87732815111459e-207	AT1	UNC13D
6.22938055057512e-211	1.37198598937184	0.454	0.108	2.09892748271078e-206	AT1	LAMA5
6.15130815164091e-210	0.466357554082933	0.603	0.181	2.07262176861389e-205	AT1	TJP1
2.1470493864571e-207	1.52489020939554	0.555	0.156	7.23426820272856e-203	AT1	CXADR
7.58978021684354e-207	10.1891135548473	0.501	0.138	2.55730054626326e-202	AT1	SPRYD7
9.03212280039172e-205	0.912123472684867	0.398	0.086	3.04328345636399e-200	AT1	RAB17
3.22493991795678e-201	0.984861533850449	0.287	0.049	1.08661125595636e-196	AT1	DAB2IP
7.89772823073724e-200	4.45289785151489	0.59	0.186	2.6610605500646e-195	AT1	TNS1
5.66850848976834e-185	1.52418165688563	0.363	0.081	1.90994725054254e-180	AT1	SCAI
9.02397259081807e-185	4.08610066832509	0.359	0.081	3.04053732475024e-180	AT1	ABCA7
4.10294043093281e-179	1.33829824931792	0.485	0.136	1.3824447487985e-174	AT1	TMEM63B
8.25925969920468e-179	1.48341911442012	0.333	0.071	2.78287496305003e-174	AT1	NBEAL2
4.30067034073126e-177	1.37125813620987	0.314	0.064	1.44906786460599e-172	AT1	GOLGA8A
