wb_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,gene_names,gene_name,score,human_symbol
WBGene00003756,0,0.871570274693082,0.279,0.023,0,Interneuron,WBGene00003756,nlp-18,WBGene00003756,0.256,
WBGene00020317,0,0.618513245218358,0.298,0.137,0,Interneuron,WBGene00020317,pdf-1,WBGene00020317,0.161,
WBGene00018298,0,0.606224883984286,0.322,0.096,0,Interneuron,WBGene00018298,nlp-50,WBGene00018298,0.226,
WBGene00003749,0,0.552871821780621,0.378,0.152,0,Interneuron,WBGene00003749,nlp-11,WBGene00003749,0.226,
WBGene00010290,0,0.53202019669808,0.264,0.058,0,Interneuron,WBGene00010290,F58H1.7,WBGene00010290,0.206,
WBGene00002100,0,0.42330462520341,0.195,0.076,0,Interneuron,WBGene00002100,ins-17,WBGene00002100,0.119,
WBGene00012457,0,0.406113767186131,0.087,0.01,0,Interneuron,WBGene00012457,acbp-6,WBGene00012457,0.077,ACBD7
WBGene00206386,0,0.379468057848685,0.077,0.002,0,Interneuron,WBGene00206386,K10C2.12,WBGene00206386,0.075,
WBGene00001444,0,0.343347635872735,0.045,0.001,0,Interneuron,WBGene00001444,flp-1,WBGene00001444,0.044,
WBGene00012760,0,0.340326805766161,0.605,0.453,0,Interneuron,WBGene00012760,Y41C4A.17,WBGene00012760,0.152,
WBGene00044679,0,0.339920784250725,0.108,0.008,0,Interneuron,WBGene00044679,K02B12.9,WBGene00044679,0.1,
WBGene00013884,0,0.337901356937388,0.077,0.002,0,Interneuron,WBGene00013884,ZC412.3,WBGene00013884,0.075,
WBGene00017671,0,0.33327432557534,0.884,0.758,0,Interneuron,WBGene00017671,pgal-1,WBGene00017671,0.126,PAM
WBGene00001189,0,0.328816215371934,0.873,0.808,0,Interneuron,WBGene00001189,egl-21,WBGene00001189,0.0649999999999999,AEBP1
WBGene00001459,0,0.319525178824669,0.25,0.096,0,Interneuron,WBGene00001459,flp-16,WBGene00001459,0.154,
WBGene00003242,0,0.315595032002797,0.079,0.004,0,Interneuron,WBGene00003242,mig-6,WBGene00003242,0.075,ADAMTS6
WBGene00004409,0,0.297630267262442,0.666,0.487,0,Interneuron,WBGene00004409,rla-1,WBGene00004409,0.179,RPLP1
WBGene00003753,0,0.288920117699146,0.45,0.287,0,Interneuron,WBGene00003753,nlp-15,WBGene00003753,0.163,
WBGene00021272,0,0.288494406226386,0.152,0.018,0,Interneuron,WBGene00021272,Y23H5B.1,WBGene00021272,0.134,
WBGene00008589,0,0.286434064365209,0.181,0.049,0,Interneuron,WBGene00008589,nlp-57,WBGene00008589,0.132,
WBGene00019324,0,0.281106815081605,0.841,0.781,0,Interneuron,WBGene00019324,K02F2.5,WBGene00019324,0.0599999999999999,
WBGene00011156,0,0.279483527506935,0.621,0.434,0,Interneuron,WBGene00011156,rbm-3.2,WBGene00011156,0.187,CSTF2T
WBGene00004419,0,0.266362520570385,0.631,0.494,0,Interneuron,WBGene00004419,rpl-7A,WBGene00004419,0.137,RPL7A
WBGene00000277,0,0.260406049455918,0.824,0.728,0,Interneuron,WBGene00000277,cab-1,WBGene00000277,0.096,NPDC1
WBGene00011392,0,0.259780032372191,0.985,0.941,0,Interneuron,WBGene00011392,sbt-1,WBGene00011392,0.044,SCG5
WBGene00021972,0,0.251347652711547,0.096,0.003,0,Interneuron,WBGene00021972,glb-31,WBGene00021972,0.093,
