Gene_name|Publication|Pub_number
NA|Lauwaet T. et al.|40
NA|Arnaiz O. et al.|53
1700001L19Rik|Ostrowski et al.|20
2AAA|David U. Mick et al.|26
3|Ostrowski et al.|20
40787.0|Karsten Boldt et al.|16
43167.0|Blacque et al._xbox|54
SCG5|Bechstedt et al.|5
A0A0G2JS52|Blacque et al._xbox|54
A0A1W2PQL4|Blacque et al._xbox|54
A1CF|Semil P. Choksi et al.|23
POTEF|Hannah Müller et al.|6
A2M-AS1|Alexander E. Ivliev et al|8
A2ML1|Alexander E. Ivliev et al|8
A2ML1|Ross et al.|22
PLP2|David U. Mick et al.|26
SGCG|David U. Mick et al.|26
IGKV1D-27|David U. Mick et al.|26
ATP6V0A4|David U. Mick et al.|26
A4GNT|Li et al.|18
A4GNT|McClintock et al.|29
AAAS|Nogales-Cadenas R. et al.|46
AAAS|Arnaiz O. et al.|53
AACS|Phirke et al.|3
AACS|Monika-Abedin-Sigg et al.|30
AACS|Broadhead et al.|32
AACS|Nogales-Cadenas R. et al.|46
AADAC|Blacque et al._xbox|54
AADACL4|Laurençon et al.|7
AADACP1|Alexander E. Ivliev et al|8
AADACP1|Ross et al.|22
AADAT|Li et al.|18
AADAT|Gabrielle Wheway|27
AADAT|McClintock et al.|29
PRXL2C|Geremek M. et al. 2014|42
AAGAB|Marshall et al.|55
AAK1|Karsten Boldt et al.|16
AAK1|Liu et al.|28
AAKB2|David U. Mick et al.|26
AAMDC|Alexander E. Ivliev et al|8
AAMP|Karsten Boldt et al.|16
AAMP|Gabrielle Wheway|27
AAPK1|David U. Mick et al.|26
AAR2|Laurençon et al.|7
AAR2|Karsten Boldt et al.|16
AARD|Marshall et al.|55
AARS2|Lauwaet T. et al.|40
AARSD1|Liu et al.|28
AARSD1|Marshall et al.|55
AASDH|Lambacher N. et al.|17
AASDH|Gabrielle Wheway|27
AASDH|McClintock et al.|29
AASDHPPT|Marshall et al.|55
AASDHPPT|Blacque et al._xbox|54
AASS|Monika-Abedin-Sigg et al.|30
AATF|Jakobsen L. et al.|43
AATM|David U. Mick et al.|26
ABAT|Bechstedt et al.|5
ABAT|Alexander E. Ivliev et al|8
ABAT|Monika-Abedin-Sigg et al.|30
ABCA1|Ross et al.|22
ABCA1|Monika-Abedin-Sigg et al.|30
ABCA12|Ross et al.|22
ABCA12|Monika-Abedin-Sigg et al.|30
ABCA13|Phirke et al.|3
ABCA13|Alexander E. Ivliev et al|8
ABCA13|Mayer et al. 2009|19
ABCA13|Ross et al.|22
ABCA13|SYSCILIA Gold Standard (van Dam TJ et al.)|24
ABCA13|Geremek M. et al. 2014|42
ABCA2|Geremek M. et al. 2014|42
ABCA3|Kilburn et al.|1
ABCA3|Efimenko et al.|2
ABCA3|McClintock et al.|29
ABCA3|Monika-Abedin-Sigg et al.|30
ABCA4|Laurençon et al.|7
ABCA4|Cilia Carta (TJP van Dam et al.)|13
ABCA4|GO CC Cilium|15
ABCA4|Liu et al.|28
ABCA4|Monika-Abedin-Sigg et al.|30
ABCA5|Alexander E. Ivliev et al|8
ABCA5|Ross et al.|22
ABCA5|Monika-Abedin-Sigg et al.|30
ABCA8|Liu et al.|28
ABCA8|Lauwaet T. et al.|40
ABCA9|Lambacher N. et al.|17
ABCB1|Efimenko et al.|2
ABCB1|Phirke et al.|3
ABCB1|Chen et al.|12
ABCB1|Gabrielle Wheway|27
ABCB1|McClintock et al.|29
ABCB1|Monika-Abedin-Sigg et al.|30
ABCB1|Yano J. et al.|50
