X1 X2
1 Homo_sapiens Animals
2 Pan_troglodytes Animals
3 Macaca_mulatta Animals
4 Gorilla_gorilla_gorilla Animals
5 Felis_catus Animals
6 Canis_lupus_familiaris Animals
7 Rattus_norvegicus Animals
8 Mus_musculus Animals
9 Gallus_gallus Animals
10 Xenopus_tropicalis Animals
11 Xenopus_laevis Animals
12 Danio_rerio Animals
13 Takifugu_rubripes Animals
14 Trichoplax_adhaerens Animals
15 Strongylocentrotus_purpuratus Animals
16 Ciona_intestinalis Animals
17 Phytophthora_sojae Protists
18 Phytophthora_infestans Protists
19 Apis_mellifera Animals
20 Lottia_gigantea Animals
21 Micromonas_commoda Plants
22 Branchiostoma_floridae Animals
23 Nematostella_vectensis Animals
24 Tetrahymena_thermophila Protists
25 Monosiga_brevicollis Protists
26 Drosophila_melanogaster Animals
27 Caenorhabditis_elegans Animals
28 Chlamydomonas_reinhardtii Plants
29 Trypanosoma_brucei Protists
30 Anopheles_gambiae Animals
31 Batrachochytrium_dendrobatidis Fungi
32 Micromonas_pusilla_RCC299 Plants
33 Volvox_carteri Plants
34 Physcomitrella_patens Plants
35 Selaginella_moellendorffii Plants
36 Thalassiosira_pseudonana Other
37 Emiliania_huxleyi Protists
38 Paramecium_tetraurelia Protists
39 Toxoplasma_gondii_ME49 Protists
40 Naegleria_gruberi Protists
41 Trichomonas_vaginalis Protists
42 Giardia_intestinalis Protists
43 Leishmania_major Protists
44 Giardia_lamblia Protists
45 Aureococcus_anophagefferens Protists
46 Plasmodium_falciparum Protists
47 Theileria_annulata Protists
48 Populus_trichocarpa Plants
49 Arabidopsis_thaliana Plants
50 Oryza_sativa Plants
51 Saccharomyces_cerevisiae Fungi
52 Encephalitozoon_cuniculi Fungi
53 Rhizopus_oryzae Fungi
54 Phycomyces_blakesleeanus Fungi
55 Ustilago_maydis Fungi
56 Cryptococcus_neoformans Fungi
57 Schizosaccharomyces_pombe Fungi
58 Neurospora_crassa Fungi
59 Yarrowia_lipolytica Fungi
60 Debaryomyces_hansenii Fungi
61 Kluyveromyces_lactis Fungi
62 Candida_glabrata Fungi
63 Dictyostelium_discoideum Protists
64 Entamoeba_histolytica Protists
65 Cyanidioschyzon_merolae Other
66 Ostreococcus_tauri Plants
67 Phaeodactylum_tricornutum Other
68 Coccomyxa_subellipsoidea Plants
69 Hyaloperonospora_arabidopsidis Protists
70 Acanthamoeba_castellanii Protists
71 Fonticula_alba Protists
72 Rhizophagus_irregularis Fungi
73 Sphaeroforma_arctica Protists
74 Capsaspora_owczarzaki Protists
75 Cryptosporidium_parvum Protists
76 Enterobacter_cloacae Bacteria
