Gene_name	Cilia_comments	Cilium_comments	Centrosome_comments	Flagella_comments	Flagellum_comments	Cilia	Cilium	Centrosome	Flagella	Flagellum
TSPAN6	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
TNMD	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DPM1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SCYL3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
C1orf112	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
FGR	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CFH	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
FUCA2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
GCLC	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
NFYA	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
STPG1	Ciliated cells - Cilium assembly	Ciliated cells - Cilium assembly	NA	NA	NA	YES	YES	NO	NO	NO
NIPAL3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
LAS1L	Normal tissues showed moderate to strong nuclear positivity. Cilia in respiratory epithelium displayed additional membranous staining.	NA	NA	NA	NA	YES	NO	NO	NO	NO
ENPP4	Respiratory ciliated cells	NA	NA	NA	NA	YES	NO	NO	NO	NO
SEMA3F	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CFTR	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ANKIB1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CYP51A1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KRIT1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
RAD52	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
BAD	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
LAP3	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CD99	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
HS3ST1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
AOC1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
WNT16	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
HECW1	Cytoplasmic staining with a granular pattern was found in most normal cells, generally of moderate to strong intensity. Nuclear staining was also found, but to a lesser extent. A subset of lymphoid cells and cilia of respiratory epithelia and fallopian tube were strongly positive.	NA	NA	NA	NA	YES	NO	NO	NO	NO
MAD1L1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
LASP1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
SNX11	Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia),Non-ciliated cells,Ciliated cells (cell body),Ciliated cells (cilia axoneme),Ciliated cells (ciliary rootlets),Ciliated cells (tip of cilia)	NA	NA	NA	NA	YES	NO	NO	NO	NO
TMEM176A	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
M6PR	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
KLHL13	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CYP26B1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ICA1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
DBNDD1	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
ALS2	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
CASP10	NA	NA	NA	NA	NA	NO	NO	NO	NO	NO
