WBGeneID,WormbaseID,CelGeneID,Celegans_Symbol,Celegans_Tag,Human_Symbol,Human_Gene_ID,Identity,Evalue,Bits,Method,Publication
WBGene00000001,WBGene00000001,172141,aap-1,Y110A7A.10,PIK3R1,5295,27.391,0,138,RBH,
WBGene00000001,WBGene00000001,172141,aap-1,Y110A7A.10,PIK3R2,5296,27.571,0,117,NotRBH-HCOPandCelEqual,
WBGene00000001,WBGene00000001,172141,aap-1,Y110A7A.10,PIK3R3,8503,27.887,0,123,NotRBH-HCOPandCelEqual,
WBGene00000001,WBGene00000001,172141,aap-1,Y110A7A.10,PIK3R3,8503,28.035,0,122,NotRBH-HCOPandCelEqual,
WBGene00000002,WBGene00000002,177793,aat-1,F27C8.1,SLC7A5,8140,48.163,0,448,RBH,
WBGene00000002,WBGene00000002,177793,aat-1,F27C8.1,SLC7A8,23428,47.976,0,421,NotRBH-HCOPandCelEqual,
WBGene00000002,WBGene00000002,177793,aat-1,F27C8.1,SLC7A11,23657,42.5,0,397,NotRBH-HCOPandCelEqual,
WBGene00000002,WBGene00000002,177793,aat-1,F27C8.1,SLC7A10,56301,43.07,0,365,NotRBH-HCOPandCelEqual,
WBGene00000003,WBGene00000003,184126,aat-2,F07C3.7,SLC7A6,9057,498,0,405,OnlyCelToHuman,
WBGene00000004,WBGene00000004,180557,aat-3,F52H2.2,SLC7A6,9057,494,0,420,OnlyCelToHuman,
WBGene00000005,WBGene00000005,177388,aat-4,T13A10.10,SLC7A6,9057,496,0,275,OnlyCelToHuman,
WBGene00000006,WBGene00000006,171814,aat-5,C55C2.5,SLC7A6,9057,495,0,256,OnlyCelToHuman,
WBGene00000007,WBGene00000007,188421,aat-6,T11F9.4,SLC7A6,9057,510,0,264,OnlyCelToHuman,
WBGene00000008,WBGene00000008,186240,aat-7,F54D12.3,SLC7A11,23657,36.345,2.17E-81,261,OnlyCelToHuman2,
WBGene00000009,WBGene00000009,185079,aat-8,F28F9.4,SLC7A7,9056,506,0,233,OnlyCelToHuman,
WBGene00000010,WBGene00000010,190250,aat-9,Y53H1C.1,SLC7A6,9057,496,0,273,OnlyCelToHuman,
WBGene00000018,WBGene00000018,181261,abl-1,M79.1,ABL1,25,53.036,0,618,RBH,
WBGene00000018,WBGene00000018,181261,abl-1,M79.1,ABL2,27,58.747,0,599,NotRBH-HCOPandCelEqual,
WBGene00000019,WBGene00000019,182849,abt-1,C24F3.5,ABCA9,10350,788,0,93.2,OnlyCelToHuman,
WBGene00000020,WBGene00000020,171782,abt-2,F12B6.1,ABCA1,19,35.171,0,443,RBH,
WBGene00000022,WBGene00000022,178559,abt-4,Y39D8C.1,ABCA3,21,34.562,0,953,RBH,
WBGene00000023,WBGene00000023,173081,abt-5,Y53C10A.9,ABCA3,21,28.95,6.15E-128,438,OnlyCelToHuman2,
WBGene00000035,WBGene00000035,181706,ace-1,W09B12.1,ACHE,43,41.565,0,440,RBH,
WBGene00000035,WBGene00000035,181706,ace-1,W09B12.1,BCHE,590,40.847,0,432,NotRBH-HCOPandCelEqual,
WBGene00000036,WBGene00000036,171905,ace-2,Y44E3A.2,BCHE,590,37.37,1.20E-116,360,OnlyCelToHuman2,
WBGene00000037,WBGene00000037,175076,ace-3,Y48B6A.8,BCHE,590,37.868,1.58E-113,351,OnlyCelToHuman2,
WBGene00000038,WBGene00000038,175074,ace-4,Y48B6A.7,BCHE,590,38.23,2.33E-127,387,OnlyCelToHuman2,
WBGene00000039,WBGene00000039,180780,acn-1,C42D8.5,ACE2,59272,26.591,0,236,NotRBH-HCOPandCelEqual,
WBGene00000039,WBGene00000039,180780,acn-1,C42D8.5,F6X3S4,-,28.289,0,261,RBH,
WBGene00000040,WBGene00000040,181324,aco-1,ZK455.1,ACO1,48,63.982,0,1180,RBH,
WBGene00000040,WBGene00000040,181324,aco-1,ZK455.1,IREB2,3658,57.048,0,906,NotRBH-HCOPandCelEqual,
WBGene00000041,WBGene00000041,176121,aco-2,F54H12.1,ACO2,50,74.507,0,1160,RBH,
WBGene00000042,WBGene00000042,180936,acr-2,K11G12.2,CHRNA3,1136,39.641,3.65E-121,367,OnlyCelToHuman2,
WBGene00000043,WBGene00000043,180937,acr-3,K11G12.7,CHRNA6,8973,484,0,375,OnlyCelToHuman,
WBGene00000044,WBGene00000044,191596,acr-5,K03F8.2,CHRNA3,1136,26.141,1.47E-48,176,OnlyCelToHuman2,
WBGene00000045,WBGene00000045,191479,acr-6,ZK973.5,CHRNA3,1136,32.122,8.40E-94,295,OnlyCelToHuman2,
WBGene00000046,WBGene00000046,174262,acr-7,T09A5.3,CHRNA7,1139,37.698,8.03E-106,326,OnlyCelToHuman2,
WBGene00000047,WBGene00000047,181246,acr-8,ZC504.2,CHRNA6,8973,485,0,323,OnlyCelToHuman,
WBGene00000048,WBGene00000048,191597,acr-9,C40C9.2,CHRNA7,1139,39.453,1.71E-119,361,OnlyCelToHuman2,
WBGene00000049,WBGene00000049,191598,acr-10,R02E12.8,CHRNA7,1139,32.71,1.24E-98,308,OnlyCelToHuman2,
WBGene00000050,WBGene00000050,191599,acr-11,D2092.3,CHRNA7,1139,40.586,1.96E-128,381,OnlyCelToHuman2,
WBGene00000051,WBGene00000051,181475,acr-12,R01E6.4,CHRNA6,8973,485,0,351,OnlyCelToHuman,
WBGene00000053,WBGene00000053,191601,acr-14,T05C12.2,CHRNA7,1139,33.006,3.03E-90,284,OnlyCelToHuman2,
WBGene00000054,WBGene00000054,191602,acr-15,F25G6.4,CHRNA7,1139,35.084,1.34E-100,310,OnlyCelToHuman2,
WBGene00000055,WBGene00000055,179235,acr-16,F25G6.3,CHRNA7,1139,44.919,0,428,RBH,
WBGene00000056,WBGene00000056,191603,acr-17,F53E10.2,CHRNA9,55584,31.197,1.56E-71,235,OnlyCelToHuman2,
WBGene00000057,WBGene00000057,191604,acr-18,F28F8.1,ZACN,353174,23.288,0,84.7,NotRBH-HCOPandCelEqual,
WBGene00000058,WBGene00000058,191605,acr-19,C31H5.3,CHRNA7,1139,41.431,1.43E-141,418,OnlyCelToHuman2,
WBGene00000059,WBGene00000059,187632,acr-20,R06A4.10,CHRNA7,1139,30.641,2.92E-55,194,OnlyCelToHuman2,
WBGene00000060,WBGene00000060,185004,acr-21,F27B3.2,CHRNA9,55584,43.931,0,310,RBH,
WBGene00000061,WBGene00000061,181009,lgc-11,XI124,CHRNA9,55584,32.317,6.07E-50,176,OnlyCelToHuman2,
WBGene00000062,WBGene00000062,191606,acr-23,F59B1.9,CHRNA6,8973,484,0,177,OnlyCelToHuman,
WBGene00000063,WBGene00000063,179535,act-1,T04C12.6,ACTB,60,97.326,0,770,OnlyCelToHuman2,
WBGene00000063,WBGene00000063,179535,act-1,T04C12.6,ACTB,60,97.326,0,770,OnlyCelToHuman2,
WBGene00000064,WBGene00000064,179534,act-2,T04C12.5,ACTB,60,98.128,0,774,RBH,
