Gene_name	interaction_scores	phylogenetic_scores	motif_score	pa_score	single_cell_score	ciliacarta	total_score_sums	is.ciliary
ABCA4	0.476002717093406	0	0	0	0.408120228530558	-6.18125541220833	0.884122945623964	1
ABHD2	0	0	0	0	0.580712633235936	-5.9162294123353	0.580712633235936	1
ABHD6	0.345669481179642	0	0	0	0.107392800368755	2.4104595445501	0.453062281548397	1
ACTL7A	0	0	0	0	0	-5.9162294123353	0	1
ACTR1A	0.627540937700922	0	0	0	0	-3.69304694088645	0.627540937700922	1
ACTR3	0.707438806714994	0	0.206012245631511	0	0.0460225634800905	-5.17775796797211	0.959473615826596	1
ACTRT1	0.557612036626337	0	0	0	0	-6.38310584313376	0.557612036626337	1
ADAMTS16	0	0	0	0	0	-5.9162294123353	0	1
ADCY10	0	0	0	0.2	0	-7.2917385474275	0.2	1
ADGB	0	0	0.881785537258909	0.6	0.643670742963632	2.51064053111917	2.12545628022254	1
AGBL2	0.440768628223223	1	0.666918281034607	0.2	0.615003410153233	6.47210830821763	2.92269031941106	1
AGBL4	0.690800195703451	1	0.713355788517502	0.6	0.195689881914438	-3.50735009252524	3.19984586613539	1
AK1	0	0	0	0.2	0.153931896675992	4.18507192323392	0.353931896675992	1
AK2	0.488165146105415	0	0	0	0	-4.18079899212224	0.488165146105415	1
AKAP3	0.637916480044355	0	0	0	0	-2.830042529174	0.637916480044355	1
AKAP4	0.46618316553065	0	0	0	0	-4.88285922761744	0.46618316553065	1
AKAP9	0.755209644856872	0	0.51269643845783	0.1	0.514956396151747	3.1053367686831	1.88286247946645	1
AKAP14	0.755845957493469	0	0	0.6	0.712445668905557	1.9395976392392	2.06829162639903	1
ALDH1A1	0	0	0.454708584546035	0.2	0.556925111243582	1.88622084917019	1.21163369578962	1
ALG9	0.534379509235218	0	0	0	0	-8.38901673453166	0.534379509235218	1
AMBRA1	0.685461844207276	0	0	0.2	0	-6.28824110319128	0.885461844207276	1
ANKMY2	0.635148610351755	0	0	0	0	-2.98773199193882	0.635148610351755	1
ANXA1	0.622954367465815	0	0	0.6	0.296741666879404	-1.30035685917572	1.51969603434522	1
AP3M2	0.563496791500869	0	0	0	0	2.45341663732582	0.563496791500869	1
APOBEC4	0.52426732821474	0	0	0.2	0.575173347036697	3.91602240669301	1.29944067525144	1
APOO	0.25219208149879	0	0.454708584546035	0	0.333193043538464	2.45341663732582	1.04009370958329	1
APP	0.670482261714936	0	0.29000223635399	0	0.451210444348779	-2.50385264828901	1.4116949424177	1
ARFGEF2	0.669214129150043	0	0.29000223635399	0	0	-1.28416762107639	0.959216365504033	1
ARHGAP35	0.560447955243464	0	0	0.2	0.0859132174577222	-4.91273196809907	0.846361172701186	1
ARMC3	0	0	0.860221211419655	0.6	0.842836365316804	5.35197440328549	2.30305757673646	1
ARR3	0.582112810709037	0	0	0	0	-4.69654438512268	0.582112810709037	1
ARRB2	0.727232280455528	0	0	0	0.380628739739516	-7.77295213027693	1.10786102019504	1
ATG7	0.63379829079994	0	0	0	0	-4.16460975402291	0.63379829079994	1
ATG14	0.679459622149609	0	0	0	0	-7.30792778552683	0.679459622149609	1
ATG16L1	0.57278586575962	0	0	0.2	0	-7.77295213027693	0.77278586575962	1
ATP2A2	0.619441393676299	0	0.29000223635399	0	0.537321577568229	2.62856694559337	1.44676520759852	1
ATP2B4	0.421919990819312	0	0	0	0.355480393805183	-0.180222954243573	0.777400384624495	1
ATP6V1C1	0.291890240699875	0	0	0.2	0	-2.02816197101062	0.491890240699875	1
ATP6V1D	0.536264146925855	0	0	0	0.398951969420883	-0.783809818452924	0.935216116346738	1
ATP6V0D1	0.499426764596074	0	0	0	0.0669907277503841	-0.164033716144243	0.566417492346458	1
ATP8A2	0.661264343312308	0	0	0	0	-1.1974039008621	0.661264343312308	1
AVIL	0.719316101540585	0	0	0	0	-7.30792778552683	0.719316101540585	1
BEST2	0	0	0	0	0	-8.77644957451316	0	1
BRWD1	0.512706819591593	0	0	0	0.0639201701986561	-5.9162294123353	0.576626989790249	1
C1orf194	0	0	0	0.6	0.977119310635607	4.34847695904926	1.57711931063561	1
C2orf73	0.375422427318271	0	0.454708584546035	0.2	0.695717002507437	3.91602240669301	1.72584801437174	1
C5orf49	0	0	0.570260649643344	1	0.926358831104688	4.34847695904926	2.49661948074803	1
C6orf118	0.536287251148402	0	0.454708584546035	0.2	0.806890111283969	4.34847695904926	1.99788594697841	1
C7orf57	0.73213242956279	0	0.29000223635399	0.6	0.698445688968413	1.9395976392392	2.32058035488519	1
C9orf24	0.407032126241067	0	0	0.6	0.9564667169406	1.9395976392392	1.96349884318167	1
C9orf116	0.656184523163741	0	0.29000223635399	0.6	0.8981464817202	4.34847695904926	2.44433324123793	1
C9orf135	0	0	0.679677101886942	0.2	0.901738944902691	1.9395976392392	1.78141604678963	1
C11orf49	0.748041355676871	0.9	0.792382947429033	0.2	0.549340964066857	1.55010017965866	3.18976526717276	1
C20orf85	0.442287524724667	0	0	0.6	0.976469813205576	4.34847695904926	2.01875733793024	1
C21orf58	0.338189886399162	0	0.628781672396548	0.2	0.780194001404313	1.55010017965866	1.94716556020002	1
CABCOCO1	0.503985940945248	0	0.694746747231159	0.7	0.761024935897579	2.22414470205534	2.65975762407399	1
CABS1	0.672189021116133	0	0	0	0	-8.77644957451316	0.672189021116133	1
CABYR	0.59141966301495	0	0	0	0	-3.99122943617505	0.59141966301495	1
CACNA1F	0.512390167234094	0	0	0	0	-2.13892968570148	0.512390167234094	1
CALCR	0.616578227851183	0	0	0	0.418038545043705	-8.77644957451316	1.03461677289489	1
CALML4	0	0	0	0.2	0.473951622169302	3.91602240669301	0.673951622169302	1
CAPS	0.751783010529564	0	0	0.2	0.904810747321601	1.9395976392392	1.85659375785117	1
CAPSL	0.738420171998181	0	0.801682477503678	0.6	0.902060351665808	2.94309508347542	3.04216300116767	1
CARS1	0.479149176935655	0	0	0	0.614303223301549	3.13647539510821	1.0934524002372	1
CASK	0.623921013323931	0	0	0	0	-4.69654438512268	0.623921013323931	1
CATSPER1	0.475035459503512	0	0	0	0	-7.30792778552683	0.475035459503512	1
CATSPER2	0	0	0	0	0	-5.23892184898406	0	1
CATSPER3	0	0	0	0.4	0	-7.2917385474275	0.4	1
CATSPER4	0	0	0	0.4	0	-6.38310584313376	0.4	1
CATSPERB	0	0	0	0	0	-6.3675702547031	0	1
CATSPERD	0	0	0	0.2	0.704315589844252	-0.8587791401514	0.904315589844252	1
CATSPERE	0	0	0	0.2	0.13898507473503	-3.90317325950985	0.33898507473503	1
CATSPERG	0	0	0	0	0	-7.30792778552683	0	1
CATSPERZ	0.528734401950766	0	0	0	0	-5.9162294123353	0.528734401950766	1
CC2D1A	0.797546433054211	0	0	0	0.0961415902724995	-2.31753780579424	0.89368802332671	1
CCDC17	0.481474230216137	0	0	0.6	0.920237253034978	1.9395976392392	2.00171148325111	1
CCDC32	0.370634206408509	0	0	0	0.0792647751281169	-5.23892184898406	0.449898981536626	1
CCDC33	0.600874978671686	0	0.595619793568828	0.2	0.253230155084445	1.55010017965866	1.64972492732496	1
CCDC63	0.577493830193363	1	0	0.4	0	-6.65281822534479	1.97749383019336	1
CCDC74A	0.464038171597838	0	0	0.2	0.830563982231912	1.9395976392392	1.49460215382975	1
CCDC74B	0	0	0	0.2	0.706069428036092	4.34847695904926	0.906069428036092	1
CCDC81	0	0	0.65935091118967	0.2	0.154226402778529	5.35197440328549	1.0135773139682	1
CCDC88A	0.750101919228984	0	0	0	0	-2.50385264828901	0.750101919228984	1
CCDC113	0.497711210443306	1	0.807574706824158	0.2	0.856361844473121	4.06322898840757	3.36164776174058	1
CCDC146	0.638019327234599	1	0.905211692365957	0.2	0.858891336423773	3.63077443605132	3.60212235602433	1
