C_elegans,Human
osm-6,IFT52
ifta-2,IFT22
dyf-1,TTC30B
ift-74,IFT74
che-2,IFT80
che-11,IFT140
dyf-6,IFT46
ift-81,IFT81
ifta-1,WDR35
osm-5,IFT88
ZK328.7,TTC21B
dyf-11,TRAF3IP1
dyf-13,TTC26
osm-1,IFT172
dyf-3,CLUAP1
dyf-2,WDR19
xbx-1, DYNC2LI1
bbs-1,BBS1
bbs-2,BBS2
arl-6,ARL6
bbs-4,BBS4
bbs-5,BBS5
osm-12,BBS7
bbs-8,TTC8
dyf-19,FBF1
mks-6,CC2D2A
Y38H6C.14,FAM161B
mks-3,TMEM67
nphp-2,ANK3
cdkl-1,CDKL1
mks-5,RPGRIP1L
T23E7.5,TMEM218
jbts-14,TMEM237
C05D10.2,MAPK15
dyf-5,MAK
W07G1.5,DCX
tbb-4,TUBB2B
C27F2.1,WDR60
T02G5.3,EFCAB7
tba-9,TUBA1C
tax-4,CNGA1
arl-13,ARL13B
C40H1.3,CEP104
ttll-11,TTLL11
K04F10.2,KIAA0556
tax-2,CNGB3
rpi-2,RP2
rab-28,RAB28
nekl-4,NEK10
F59G1.4,ARMC9
Y108G3AL.3,CFAP36
C15A7.2,TMEM145
C32D5.6,TTC39A
nex-4,ANXA5
T03G11.3,ZC2HC1B
T05A8.5,WDR31
ugt-56,UGT3A2
F39H12.2,WDR54
dhhc-11,ZDHHC11
M153.4,ZNF474
C56G7.3,ELMOD3
arrd-4,ARRDC3
klp-13,KIF19
C24A3.1,CCDC154
Y22D7AL.16 ,ZNF780
tsp-6,CD9
